Mode,BackFrameNum,BackWeight,MidFrameNum,MidWeight,FrontFrameNum,FrontWeight,TimeMs,Knob,ResponsePattern,StepNumber,Amplitude,Velocity,CameraSpeed
LinearOnly,cam1,1.000000,-1,0.000000,cam2,0.000000,0.000,0.052,Velocity,1,-0.844,0.911778,1.000
LinearOnly,cam1,0.983333,-1,0.000000,cam2,0.016667,16.667,0.052,Velocity,1,-0.844,0.824523,1.000
LinearOnly,cam1,0.966667,-1,0.000000,cam2,0.033333,33.333,0.052,Velocity,1,-0.844,0.739190,1.000
LinearOnly,cam1,0.950000,-1,0.000000,cam2,0.050000,50.000,0.052,Velocity,1,-0.844,0.656714,1.000
LinearOnly,cam1,0.933333,-1,0.000000,cam2,0.066667,66.667,0.052,Velocity,1,-0.844,0.578000,1.000
LinearOnly,cam1,0.916667,-1,0.000000,cam2,0.083333,83.333,0.052,Velocity,1,-0.844,0.503909,1.000
LinearOnly,cam1,0.900000,-1,0.000000,cam2,0.100000,100.000,0.052,Velocity,1,-0.844,0.435254,1.000
LinearOnly,cam1,0.883333,-1,0.000000,cam2,0.116667,116.667,0.052,Velocity,1,-0.844,0.372786,1.000
LinearOnly,cam1,0.866667,-1,0.000000,cam2,0.133333,133.333,0.052,Velocity,1,-0.844,0.317190,1.000
LinearOnly,cam1,0.850000,-1,0.000000,cam2,0.150000,150.000,0.052,Velocity,1,-0.844,0.269075,1.000
LinearOnly,cam1,0.833333,-1,0.000000,cam2,0.166667,166.667,0.052,Velocity,1,-0.844,0.228968,1.000
LinearOnly,cam1,0.816667,-1,0.000000,cam2,0.183333,183.333,0.052,Velocity,1,-0.844,0.197308,1.000
LinearOnly,cam1,0.800000,-1,0.000000,cam2,0.200000,200.000,0.052,Velocity,1,-0.844,0.174443,1.000
LinearOnly,cam1,0.783333,-1,0.000000,cam2,0.216667,216.667,0.052,Velocity,1,-0.844,0.160624,1.000
LinearOnly,cam1,0.766667,-1,0.000000,cam2,0.233333,233.333,0.052,Velocity,1,-0.844,0.156000,1.000
LinearOnly,cam1,0.750000,-1,0.000000,cam2,0.250000,250.000,0.052,Velocity,1,-0.844,0.160624,1.000
LinearOnly,cam1,0.733333,-1,0.000000,cam2,0.266667,266.667,0.052,Velocity,1,-0.844,0.174444,1.000
LinearOnly,cam1,0.716667,-1,0.000000,cam2,0.283333,283.333,0.052,Velocity,1,-0.844,0.197308,1.000
LinearOnly,cam1,0.700000,-1,0.000000,cam2,0.300000,300.000,0.052,Velocity,1,-0.844,0.228968,1.000
LinearOnly,cam1,0.683333,-1,0.000000,cam2,0.316667,316.667,0.052,Velocity,1,-0.844,0.269075,1.000
LinearOnly,cam1,0.666667,-1,0.000000,cam2,0.333333,333.333,0.052,Velocity,1,-0.844,0.317190,1.000
LinearOnly,cam1,0.650000,-1,0.000000,cam2,0.350000,350.000,0.052,Velocity,1,-0.844,0.372786,1.000
LinearOnly,cam1,0.633333,-1,0.000000,cam2,0.366667,366.667,0.052,Velocity,1,-0.844,0.435254,1.000
LinearOnly,cam1,0.616667,-1,0.000000,cam2,0.383333,383.333,0.052,Velocity,1,-0.844,0.503910,1.000
LinearOnly,cam1,0.600000,-1,0.000000,cam2,0.400000,400.000,0.052,Velocity,1,-0.844,0.578001,1.000
LinearOnly,cam1,0.583333,-1,0.000000,cam2,0.416667,416.667,0.052,Velocity,1,-0.844,0.656715,1.000
LinearOnly,cam1,0.566667,-1,0.000000,cam2,0.433333,433.333,0.052,Velocity,1,-0.844,0.739191,1.000
LinearOnly,cam1,0.550000,-1,0.000000,cam2,0.450000,450.000,0.052,Velocity,1,-0.844,0.824524,1.000
LinearOnly,cam1,0.533333,-1,0.000000,cam2,0.466667,466.667,0.052,Velocity,1,-0.844,0.911779,1.000
LinearOnly,cam1,0.516667,-1,0.000000,cam2,0.483333,483.333,0.052,Velocity,1,-0.844,1.000001,1.000
LinearOnly,cam1,0.500000,-1,0.000000,cam2,0.500000,500.000,0.052,Velocity,1,-0.844,1.088223,1.000
LinearOnly,cam1,0.483333,-1,0.000000,cam2,0.516667,516.667,0.052,Velocity,1,-0.844,1.175478,1.000
LinearOnly,cam1,0.466667,-1,0.000000,cam2,0.533333,533.333,0.052,Velocity,1,-0.844,1.260811,1.000
LinearOnly,cam1,0.450000,-1,0.000000,cam2,0.550000,550.000,0.052,Velocity,1,-0.844,1.343286,1.000
LinearOnly,cam1,0.433333,-1,0.000000,cam2,0.566667,566.667,0.052,Velocity,1,-0.844,1.422001,1.000
LinearOnly,cam1,0.416667,-1,0.000000,cam2,0.583333,583.333,0.052,Velocity,1,-0.844,1.496091,1.000
LinearOnly,cam1,0.400000,-1,0.000000,cam2,0.600000,600.000,0.052,Velocity,1,-0.844,1.564746,1.000
LinearOnly,cam1,0.383333,-1,0.000000,cam2,0.616667,616.667,0.052,Velocity,1,-0.844,1.627214,1.000
LinearOnly,cam1,0.366667,-1,0.000000,cam2,0.633333,633.333,0.052,Velocity,1,-0.844,1.682810,1.000
LinearOnly,cam1,0.350000,-1,0.000000,cam2,0.650000,650.000,0.052,Velocity,1,-0.844,1.730925,1.000
LinearOnly,cam1,0.333333,-1,0.000000,cam2,0.666667,666.667,0.052,Velocity,1,-0.844,1.771032,1.000
LinearOnly,cam1,0.316667,-1,0.000000,cam2,0.683333,683.333,0.052,Velocity,1,-0.844,1.802692,1.000
LinearOnly,cam1,0.300000,-1,0.000000,cam2,0.700000,700.000,0.052,Velocity,1,-0.844,1.825557,1.000
LinearOnly,cam1,0.283333,-1,0.000000,cam2,0.716667,716.667,0.052,Velocity,1,-0.844,1.839376,1.000
LinearOnly,cam1,0.266667,-1,0.000000,cam2,0.733333,733.333,0.052,Velocity,1,-0.844,1.844000,1.000
LinearOnly,cam1,0.250000,-1,0.000000,cam2,0.750000,750.000,0.052,Velocity,1,-0.844,1.839376,1.000
LinearOnly,cam1,0.233333,-1,0.000000,cam2,0.766667,766.667,0.052,Velocity,1,-0.844,1.825557,1.000
LinearOnly,cam1,0.216667,-1,0.000000,cam2,0.783333,783.333,0.052,Velocity,1,-0.844,1.802692,1.000
LinearOnly,cam1,0.200000,-1,0.000000,cam2,0.800000,800.000,0.052,Velocity,1,-0.844,1.771033,1.000
LinearOnly,cam1,0.183333,-1,0.000000,cam2,0.816667,816.667,0.052,Velocity,1,-0.844,1.730926,1.000
LinearOnly,cam1,0.166667,-1,0.000000,cam2,0.833333,833.333,0.052,Velocity,1,-0.844,1.682811,1.000
LinearOnly,cam1,0.150000,-1,0.000000,cam2,0.850000,850.000,0.052,Velocity,1,-0.844,1.627215,1.000
LinearOnly,cam1,0.133333,-1,0.000000,cam2,0.866667,866.667,0.052,Velocity,1,-0.844,1.564747,1.000
LinearOnly,cam1,0.116667,-1,0.000000,cam2,0.883333,883.333,0.052,Velocity,1,-0.844,1.496091,1.000
LinearOnly,cam1,0.100000,-1,0.000000,cam2,0.900000,900.000,0.052,Velocity,1,-0.844,1.422001,1.000
LinearOnly,cam1,0.083333,-1,0.000000,cam2,0.916667,916.667,0.052,Velocity,1,-0.844,1.343287,1.000
LinearOnly,cam1,0.066667,-1,0.000000,cam2,0.933333,933.333,0.052,Velocity,1,-0.844,1.260811,1.000
LinearOnly,cam1,0.050000,-1,0.000000,cam2,0.950000,950.000,0.052,Velocity,1,-0.844,1.175479,1.000
LinearOnly,cam1,0.033333,-1,0.000000,cam2,0.966667,966.667,0.052,Velocity,1,-0.844,1.088223,1.000
LinearOnly,cam1,0.016667,-1,0.000000,cam2,0.983333,983.333,0.052,Velocity,1,-0.844,1.000001,1.000
LinearOnly,cam1,1.000000,-1,0.000000,cam2,0.000000,1000.000,0.052,Velocity,1,-0.844,0.911779,1.000
LinearOnly,cam1,0.983333,-1,0.000000,cam2,0.016667,1016.667,0.052,Velocity,1,-0.844,0.824524,1.000
LinearOnly,cam1,0.966667,-1,0.000000,cam2,0.033333,1033.333,0.052,Velocity,1,-0.844,0.739191,1.000
LinearOnly,cam1,0.950000,-1,0.000000,cam2,0.050000,1050.000,0.052,Velocity,1,-0.844,0.656716,1.000
LinearOnly,cam1,0.933333,-1,0.000000,cam2,0.066667,1066.667,0.052,Velocity,1,-0.844,0.578001,1.000
LinearOnly,cam1,0.916667,-1,0.000000,cam2,0.083333,1083.333,0.052,Velocity,1,-0.844,0.503911,1.000
LinearOnly,cam1,0.900000,-1,0.000000,cam2,0.100000,1100.000,0.053,Velocity,1,-0.841,0.437262,1.000
LinearOnly,cam1,0.883333,-1,0.000000,cam2,0.116667,1116.667,0.053,Velocity,1,-0.841,0.375016,1.000
LinearOnly,cam1,0.866667,-1,0.000000,cam2,0.133333,1133.333,0.053,Velocity,1,-0.841,0.319618,1.000
LinearOnly,cam1,0.850000,-1,0.000000,cam2,0.150000,1150.000,0.053,Velocity,1,-0.841,0.271674,1.000
LinearOnly,cam1,0.833333,-1,0.000000,cam2,0.166667,1166.667,0.053,Velocity,1,-0.841,0.231709,1.000
LinearOnly,cam1,0.816667,-1,0.000000,cam2,0.183333,1183.333,0.052,Velocity,1,-0.844,0.197309,1.000
LinearOnly,cam1,0.800000,-1,0.000000,cam2,0.200000,1200.000,0.052,Velocity,1,-0.844,0.174444,1.000
LinearOnly,cam1,0.783333,-1,0.000000,cam2,0.216667,1216.667,0.052,Velocity,1,-0.844,0.160624,1.000
LinearOnly,cam1,0.766667,-1,0.000000,cam2,0.233333,1233.333,0.051,Velocity,1,-0.847,0.153000,1.000
LinearOnly,cam1,0.750000,-1,0.000000,cam2,0.250000,1250.000,0.051,Velocity,1,-0.847,0.157640,1.000
LinearOnly,cam1,0.733333,-1,0.000000,cam2,0.266667,1266.667,0.048,Velocity,1,-0.856,0.162705,1.000
LinearOnly,cam1,0.716667,-1,0.000000,cam2,0.283333,1283.333,0.048,Velocity,1,-0.856,0.185895,1.000
LinearOnly,cam1,0.700000,-1,0.000000,cam2,0.300000,1300.000,0.047,Velocity,1,-0.859,0.215263,1.000
LinearOnly,cam1,0.683333,-1,0.000000,cam2,0.316667,1316.667,0.047,Velocity,1,-0.859,0.256083,1.000
LinearOnly,cam1,0.666667,-1,0.000000,cam2,0.333333,1333.333,0.047,Velocity,1,-0.859,0.305053,1.000
LinearOnly,cam1,0.650000,-1,0.000000,cam2,0.350000,1350.000,0.047,Velocity,1,-0.859,0.361636,1.000
LinearOnly,cam1,0.633333,-1,0.000000,cam2,0.366667,1366.667,0.046,Velocity,1,-0.862,0.423207,1.000
LinearOnly,cam1,0.616667,-1,0.000000,cam2,0.383333,1383.333,0.045,Velocity,1,-0.865,0.491563,1.000
LinearOnly,cam1,0.600000,-1,0.000000,cam2,0.400000,1400.000,0.044,Velocity,1,-0.868,0.565997,1.000
LinearOnly,cam1,0.583333,-1,0.000000,cam2,0.416667,1416.667,0.043,Velocity,1,-0.871,0.645729,1.000
LinearOnly,cam1,0.566667,-1,0.000000,cam2,0.433333,1433.333,0.042,Velocity,1,-0.874,0.729916,1.000
LinearOnly,cam1,0.550000,-1,0.000000,cam2,0.450000,1450.000,0.041,Velocity,1,-0.877,0.817658,1.000
LinearOnly,cam1,0.533333,-1,0.000000,cam2,0.466667,1466.667,0.041,Velocity,1,-0.877,0.908325,1.000
LinearOnly,cam1,0.516667,-1,0.000000,cam2,0.483333,1483.333,0.038,Velocity,1,-0.886,0.999997,1.000
LinearOnly,cam1,0.500000,-1,0.000000,cam2,0.500000,1500.000,0.038,Velocity,1,-0.886,1.092608,1.000
LinearOnly,cam1,0.483333,-1,0.000000,cam2,0.516667,1516.667,0.037,Velocity,1,-0.889,1.184830,1.000
LinearOnly,cam1,0.466667,-1,0.000000,cam2,0.533333,1533.333,0.036,Velocity,1,-0.892,1.275639,1.000
LinearOnly,cam1,0.450000,-1,0.000000,cam2,0.550000,1550.000,0.035,Velocity,1,-0.895,1.364026,1.000
LinearOnly,cam1,0.433333,-1,0.000000,cam2,0.566667,1566.667,0.035,Velocity,1,-0.895,1.447496,1.000
LinearOnly,cam1,0.416667,-1,0.000000,cam2,0.583333,1583.333,0.035,Velocity,1,-0.895,1.526065,1.000
LinearOnly,cam1,0.400000,-1,0.000000,cam2,0.600000,1600.000,0.035,Velocity,1,-0.895,1.598868,1.000
LinearOnly,cam1,0.383333,-1,0.000000,cam2,0.616667,1616.667,0.035,Velocity,1,-0.895,1.665112,1.000
LinearOnly,cam1,0.366667,-1,0.000000,cam2,0.633333,1633.333,0.035,Velocity,1,-0.895,1.724067,1.000
LinearOnly,cam1,0.350000,-1,0.000000,cam2,0.650000,1650.000,0.035,Velocity,1,-0.895,1.775091,1.000
LinearOnly,cam1,0.333333,-1,0.000000,cam2,0.666667,1666.667,0.035,Velocity,1,-0.895,1.817621,1.000
LinearOnly,cam1,0.316667,-1,0.000000,cam2,0.683333,1683.333,0.033,Velocity,1,-0.901,1.856901,1.000
LinearOnly,cam1,0.300000,-1,0.000000,cam2,0.700000,1700.000,0.033,Velocity,1,-0.901,1.881310,1.000
LinearOnly,cam1,0.283333,-1,0.000000,cam2,0.716667,1716.667,0.033,Velocity,1,-0.901,1.896064,1.000
LinearOnly,cam1,0.266667,-1,0.000000,cam2,0.733333,1733.333,0.033,Velocity,1,-0.901,1.901000,1.000
LinearOnly,cam1,0.250000,-1,0.000000,cam2,0.750000,1750.000,0.031,Velocity,1,-0.907,1.902032,1.000
LinearOnly,cam1,0.233333,-1,0.000000,cam2,0.766667,1766.667,0.031,Velocity,1,-0.907,1.887181,1.000
LinearOnly,cam1,0.216667,-1,0.000000,cam2,0.783333,1783.333,0.029,Velocity,1,-0.913,1.868316,1.000
LinearOnly,cam1,0.200000,-1,0.000000,cam2,0.800000,1800.000,0.029,Velocity,1,-0.913,1.834069,1.000
LinearOnly,cam1,0.183333,-1,0.000000,cam2,0.816667,1816.667,0.029,Velocity,1,-0.913,1.790684,1.000
LinearOnly,cam1,0.166667,-1,0.000000,cam2,0.833333,1833.333,0.028,Velocity,1,-0.916,1.741063,1.000
LinearOnly,cam1,0.150000,-1,0.000000,cam2,0.850000,1850.000,0.028,Velocity,1,-0.916,1.680725,1.000
LinearOnly,cam1,0.133333,-1,0.000000,cam2,0.866667,1866.667,0.028,Velocity,1,-0.916,1.612928,1.000
LinearOnly,cam1,0.116667,-1,0.000000,cam2,0.883333,1883.333,0.027,Velocity,1,-0.919,1.540179,1.000
LinearOnly,cam1,0.100000,-1,0.000000,cam2,0.900000,1900.000,0.027,Velocity,1,-0.919,1.459505,1.000
LinearOnly,cam1,0.083333,-1,0.000000,cam2,0.916667,1916.667,0.027,Velocity,1,-0.919,1.373797,1.000
LinearOnly,cam1,0.066667,-1,0.000000,cam2,0.933333,1933.333,0.027,Velocity,1,-0.919,1.283992,1.000
LinearOnly,cam1,0.050000,-1,0.000000,cam2,0.950000,1950.000,0.027,Velocity,1,-0.919,1.191077,1.000
LinearOnly,cam1,0.033333,-1,0.000000,cam2,0.966667,1966.667,0.027,Velocity,1,-0.919,1.096068,1.000
LinearOnly,cam1,0.016667,-1,0.000000,cam2,0.983334,1983.333,0.027,Velocity,1,-0.919,1.000007,1.000
LinearOnly,cam1,1.000000,-1,0.000000,cam2,0.000000,2000.000,0.027,Velocity,1,-0.919,0.903945,1.000
LinearOnly,cam1,0.983333,-1,0.000000,cam2,0.016667,2016.667,0.027,Velocity,1,-0.919,0.808936,1.000
LinearOnly,cam1,0.966667,-1,0.000000,cam2,0.033334,2033.333,0.027,Velocity,1,-0.919,0.716020,1.000
LinearOnly,cam1,0.950000,-1,0.000000,cam2,0.050000,2050.000,0.027,Velocity,1,-0.919,0.626216,1.000
LinearOnly,cam1,0.933333,-1,0.000000,cam2,0.066667,2066.667,0.027,Velocity,1,-0.919,0.540506,1.000
LinearOnly,cam1,0.916667,-1,0.000000,cam2,0.083334,2083.333,0.027,Velocity,1,-0.919,0.459831,1.000
LinearOnly,cam1,0.900000,-1,0.000000,cam2,0.100000,2100.000,0.027,Velocity,1,-0.919,0.385074,1.000
LinearOnly,cam1,0.883333,-1,0.000000,cam2,0.116667,2116.667,0.027,Velocity,1,-0.919,0.317055,1.000
LinearOnly,cam1,0.866667,-1,0.000000,cam2,0.133334,2133.333,0.027,Velocity,1,-0.919,0.256518,1.000
LinearOnly,cam1,0.850000,-1,0.000000,cam2,0.150000,2150.000,0.027,Velocity,1,-0.919,0.204127,1.000
LinearOnly,cam1,0.833333,-1,0.000000,cam2,0.166667,2166.667,0.027,Velocity,1,-0.919,0.160455,1.000
LinearOnly,cam1,0.816667,-1,0.000000,cam2,0.183334,2183.333,0.027,Velocity,1,-0.919,0.125982,1.000
LinearOnly,cam1,0.800000,-1,0.000000,cam2,0.200000,2200.000,0.027,Velocity,1,-0.919,0.101084,1.000
LinearOnly,cam1,0.783333,-1,0.000000,cam2,0.216667,2216.667,0.027,Velocity,1,-0.919,0.086035,1.000
LinearOnly,cam1,0.766667,-1,0.000000,cam2,0.233334,2233.333,0.027,Velocity,1,-0.919,0.081000,1.000
LinearOnly,cam1,0.750000,-1,0.000000,cam2,0.250000,2250.000,0.027,Velocity,1,-0.919,0.086034,1.000
LinearOnly,cam1,0.733333,-1,0.000000,cam2,0.266667,2266.667,0.027,Velocity,1,-0.919,0.101081,1.000
LinearOnly,cam1,0.716667,-1,0.000000,cam2,0.283334,2283.333,0.027,Velocity,1,-0.919,0.125977,1.000
LinearOnly,cam1,0.700000,-1,0.000000,cam2,0.300000,2300.000,0.027,Velocity,1,-0.919,0.160448,1.000
LinearOnly,cam1,0.683333,-1,0.000000,cam2,0.316667,2316.667,0.027,Velocity,1,-0.919,0.204119,1.000
LinearOnly,cam1,0.666667,-1,0.000000,cam2,0.333334,2333.333,0.027,Velocity,1,-0.919,0.256508,1.000
LinearOnly,cam1,0.650000,-1,0.000000,cam2,0.350000,2350.000,0.027,Velocity,1,-0.919,0.317045,1.000
LinearOnly,cam1,0.633333,-1,0.000000,cam2,0.366667,2366.667,0.027,Velocity,1,-0.919,0.385063,1.000
LinearOnly,cam1,0.616667,-1,0.000000,cam2,0.383334,2383.333,0.027,Velocity,1,-0.919,0.459819,1.000
LinearOnly,cam1,0.600000,-1,0.000000,cam2,0.400000,2400.000,0.027,Velocity,1,-0.919,0.540492,1.000
LinearOnly,cam1,0.583333,-1,0.000000,cam2,0.416667,2416.667,0.027,Velocity,1,-0.919,0.626201,1.000
LinearOnly,cam1,0.566667,-1,0.000000,cam2,0.433334,2433.333,0.027,Velocity,1,-0.919,0.716005,1.000
LinearOnly,cam1,0.550000,-1,0.000000,cam2,0.450000,2450.000,0.027,Velocity,1,-0.919,0.808921,1.000
LinearOnly,cam1,0.533333,-1,0.000000,cam2,0.466667,2466.667,0.027,Velocity,1,-0.919,0.903929,1.000
LinearOnly,cam1,0.516667,-1,0.000000,cam2,0.483334,2483.333,0.027,Velocity,1,-0.919,0.999991,1.000
LinearOnly,cam1,0.500000,-1,0.000000,cam2,0.500000,2500.000,0.027,Velocity,1,-0.919,1.096052,1.000
LinearOnly,cam1,0.483333,-1,0.000000,cam2,0.516667,2516.667,0.027,Velocity,1,-0.919,1.191062,1.000
LinearOnly,cam1,0.466667,-1,0.000000,cam2,0.533334,2533.333,0.027,Velocity,1,-0.919,1.283977,1.000
LinearOnly,cam1,0.450000,-1,0.000000,cam2,0.550000,2550.000,0.027,Velocity,1,-0.919,1.373782,1.000
LinearOnly,cam1,0.433333,-1,0.000000,cam2,0.566667,2566.667,0.027,Velocity,1,-0.919,1.459492,1.000
LinearOnly,cam1,0.416667,-1,0.000000,cam2,0.583334,2583.333,0.027,Velocity,1,-0.919,1.540167,1.000
LinearOnly,cam1,0.400000,-1,0.000000,cam2,0.600000,2600.000,0.027,Velocity,1,-0.919,1.614923,1.000
LinearOnly,cam1,0.383333,-1,0.000000,cam2,0.616667,2616.667,0.027,Velocity,1,-0.919,1.682943,1.000
LinearOnly,cam1,0.366667,-1,0.000000,cam2,0.633334,2633.333,0.027,Velocity,1,-0.919,1.743481,1.000
LinearOnly,cam1,0.350000,-1,0.000000,cam2,0.650000,2650.000,0.027,Velocity,1,-0.919,1.795872,1.000
LinearOnly,cam1,0.333333,-1,0.000000,cam2,0.666667,2666.667,0.027,Velocity,1,-0.919,1.839544,1.000
LinearOnly,cam1,0.316667,-1,0.000000,cam2,0.683334,2683.333,0.027,Velocity,1,-0.919,1.874017,1.000
LinearOnly,cam1,0.300000,-1,0.000000,cam2,0.700000,2700.000,0.027,Velocity,1,-0.919,1.898916,1.000
LinearOnly,cam1,0.283333,-1,0.000000,cam2,0.716667,2716.667,0.027,Velocity,1,-0.919,1.913965,1.000
LinearOnly,cam1,0.266667,-1,0.000000,cam2,0.733334,2733.333,0.027,Velocity,1,-0.919,1.919000,1.000
LinearOnly,cam1,0.250000,-1,0.000000,cam2,0.750000,2750.000,0.027,Velocity,1,-0.919,1.913967,1.000
