Mode,BackFrameNum,BackWeight,MidFrameNum,MidWeight,FrontFrameNum,FrontWeight,TimeMs,Knob,ResponsePattern,StepNumber,Amplitude,Velocity,CameraSpeed
LinearOnly,cam1,1.000000,-1,0.000000,cam2,0.000000,0.000,0.641,Velocity,1,0.9229999,1.096480,1.000
LinearOnly,cam1,0.983333,-1,0.000000,cam2,0.016667,16.667,0.641,Velocity,1,0.9229999,1.191903,1.000
LinearOnly,cam1,0.966667,-1,0.000000,cam2,0.033333,33.333,0.640,Velocity,1,0.92,1.284296,1.000
LinearOnly,cam1,0.950000,-1,0.000000,cam2,0.050000,50.000,0.641,Velocity,1,0.9229999,1.375418,1.000
LinearOnly,cam1,0.933333,-1,0.000000,cam2,0.066667,66.667,0.641,Velocity,1,0.9229999,1.461500,1.000
LinearOnly,cam1,0.916667,-1,0.000000,cam2,0.083333,83.333,0.641,Velocity,1,0.9229999,1.542526,1.000
LinearOnly,cam1,0.900000,-1,0.000000,cam2,0.100000,100.000,0.642,Velocity,1,0.9260001,1.619615,1.000
LinearOnly,cam1,0.883333,-1,0.000000,cam2,0.116667,116.667,0.641,Velocity,1,0.9229999,1.685923,1.000
LinearOnly,cam1,0.866667,-1,0.000000,cam2,0.133333,133.333,0.640,Velocity,1,0.92,1.744296,1.000
LinearOnly,cam1,0.850000,-1,0.000000,cam2,0.150000,150.000,0.642,Velocity,1,0.9260001,1.801940,1.000
LinearOnly,cam1,0.833333,-1,0.000000,cam2,0.166667,166.667,0.642,Velocity,1,0.9260001,1.845943,1.000
LinearOnly,cam1,0.816667,-1,0.000000,cam2,0.183333,183.333,0.642,Velocity,1,0.9260001,1.880678,1.000
LinearOnly,cam1,0.800000,-1,0.000000,cam2,0.200000,200.000,0.642,Velocity,1,0.9260001,1.905765,1.000
LinearOnly,cam1,0.783333,-1,0.000000,cam2,0.216667,216.667,0.641,Velocity,1,0.9229999,1.917944,1.000
LinearOnly,cam1,0.766667,-1,0.000000,cam2,0.233333,233.333,0.641,Velocity,1,0.9229999,1.923000,1.000
LinearOnly,cam1,0.750000,-1,0.000000,cam2,0.250000,250.000,0.640,Velocity,1,0.92,1.914960,1.000
LinearOnly,cam1,0.733333,-1,0.000000,cam2,0.266667,266.667,0.642,Velocity,1,0.9260001,1.905765,1.000
LinearOnly,cam1,0.716667,-1,0.000000,cam2,0.283333,283.333,0.641,Velocity,1,0.9229999,1.877825,1.000
LinearOnly,cam1,0.700000,-1,0.000000,cam2,0.300000,300.000,0.641,Velocity,1,0.9229999,1.843202,1.000
LinearOnly,cam1,0.683333,-1,0.000000,cam2,0.316667,316.667,0.642,Velocity,1,0.9260001,1.801939,1.000
LinearOnly,cam1,0.666667,-1,0.000000,cam2,0.333333,333.333,0.642,Velocity,1,0.9260001,1.749149,1.000
LinearOnly,cam1,0.650000,-1,0.000000,cam2,0.350000,350.000,0.642,Velocity,1,0.9260001,1.688152,1.000
LinearOnly,cam1,0.633333,-1,0.000000,cam2,0.366667,366.667,0.641,Velocity,1,0.9229999,1.617607,1.000
LinearOnly,cam1,0.616667,-1,0.000000,cam2,0.383333,383.333,0.641,Velocity,1,0.9229999,1.542525,1.000
LinearOnly,cam1,0.600000,-1,0.000000,cam2,0.400000,400.000,0.641,Velocity,1,0.9229999,1.461499,1.000
LinearOnly,cam1,0.583333,-1,0.000000,cam2,0.416667,416.667,0.641,Velocity,1,0.9229999,1.375417,1.000
