Mode,BackFrameNum,BackWeight,MidFrameNum,MidWeight,FrontFrameNum,FrontWeight,TimeMs,Knob,ResponsePattern,StepNumber,Amplitude,Velocity,CameraSpeed
LinearOnly,cam1,1.000000,-1,0.000000,cam2,0.000000,0.000,0.211,Velocity,1,-0.367,0.961638,1.000
LinearOnly,cam1,0.983333,-1,0.000000,cam2,0.016667,16.667,0.210,Velocity,1,-0.37,0.923073,1.000
LinearOnly,cam1,0.966667,-1,0.000000,cam2,0.033333,33.333,0.210,Velocity,1,-0.37,0.885664,1.000
LinearOnly,cam1,0.950000,-1,0.000000,cam2,0.050000,50.000,0.210,Velocity,1,-0.37,0.849508,1.000
LinearOnly,cam1,0.933333,-1,0.000000,cam2,0.066667,66.667,0.210,Velocity,1,-0.37,0.815000,1.000
LinearOnly,cam1,0.916667,-1,0.000000,cam2,0.083333,83.333,0.210,Velocity,1,-0.37,0.782520,1.000
LinearOnly,cam1,0.900000,-1,0.000000,cam2,0.100000,100.000,0.210,Velocity,1,-0.37,0.752422,1.000
LinearOnly,cam1,0.883333,-1,0.000000,cam2,0.116667,116.667,0.210,Velocity,1,-0.37,0.725036,1.000
LinearOnly,cam1,0.866667,-1,0.000000,cam2,0.133333,133.333,0.210,Velocity,1,-0.37,0.700664,1.000
LinearOnly,cam1,0.850000,-1,0.000000,cam2,0.150000,150.000,0.211,Velocity,1,-0.367,0.682169,1.000
LinearOnly,cam1,0.833333,-1,0.000000,cam2,0.166667,166.667,0.210,Velocity,1,-0.37,0.661988,1.000
LinearOnly,cam1,0.816667,-1,0.000000,cam2,0.183333,183.333,0.210,Velocity,1,-0.37,0.648109,1.000
LinearOnly,cam1,0.800000,-1,0.000000,cam2,0.200000,200.000,0.211,Velocity,1,-0.367,0.641020,1.000
LinearOnly,cam1,0.783333,-1,0.000000,cam2,0.216667,216.667,0.211,Velocity,1,-0.367,0.635010,1.000
LinearOnly,cam1,0.766667,-1,0.000000,cam2,0.233333,233.333,0.210,Velocity,1,-0.37,0.630000,1.000
LinearOnly,cam1,0.750000,-1,0.000000,cam2,0.250000,250.000,0.210,Velocity,1,-0.37,0.632027,1.000
LinearOnly,cam1,0.733333,-1,0.000000,cam2,0.266667,266.667,0.211,Velocity,1,-0.367,0.641020,1.000
LinearOnly,cam1,0.716667,-1,0.000000,cam2,0.283333,283.333,0.211,Velocity,1,-0.367,0.650962,1.000
LinearOnly,cam1,0.700000,-1,0.000000,cam2,0.300000,300.000,0.211,Velocity,1,-0.367,0.664729,1.000
LinearOnly,cam1,0.683333,-1,0.000000,cam2,0.316667,316.667,0.210,Velocity,1,-0.37,0.679571,1.000
