FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 0.313, Velocity, 0, 0, 0, 2.000, 1.000
1, 0.985, 2, 0.015, 16.667, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.970, 2, 0.030, 33.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.955, 2, 0.045, 50.000, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.940, 2, 0.060, 66.667, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.925, 2, 0.075, 83.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.909, 2, 0.091, 100.000, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.894, 2, 0.106, 116.667, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.877, 2, 0.123, 133.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.861, 2, 0.139, 150.000, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.846, 2, 0.154, 166.667, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.829, 2, 0.171, 183.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.813, 2, 0.187, 200.000, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.796, 2, 0.204, 216.667, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.779, 2, 0.221, 233.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.762, 2, 0.238, 250.000, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.746, 2, 0.254, 266.667, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.728, 2, 0.272, 283.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.711, 2, 0.289, 300.000, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.694, 2, 0.306, 316.667, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.677, 2, 0.323, 333.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.659, 2, 0.341, 350.000, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.642, 2, 0.358, 366.667, 0.315, Velocity, 0, 0, 0, 0.630, 1.000
1, 0.624, 2, 0.376, 383.333, 0.315, Velocity, 0, 0, 0, 0.630, 1.000
1, 0.606, 2, 0.394, 400.000, 0.315, Velocity, 0, 0, 0, 0.630, 1.000
1, 0.589, 2, 0.411, 416.667, 0.315, Velocity, 0, 0, 0, 0.630, 1.000
1, 0.571, 2, 0.429, 433.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.553, 2, 0.447, 450.000, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.536, 2, 0.464, 466.667, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.518, 2, 0.482, 483.333, 0.315, Velocity, 0, 0, 0, 0.630, 1.000
1, 0.500, 2, 0.500, 500.000, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.482, 2, 0.518, 516.667, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.464, 2, 0.536, 533.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.447, 2, 0.553, 550.000, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.429, 2, 0.571, 566.667, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.411, 2, 0.589, 583.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.393, 2, 0.607, 600.000, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.376, 2, 0.624, 616.667, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.358, 2, 0.642, 633.333, 0.313, Velocity, 0, 0, 0, 0.626, 1.000
1, 0.341, 2, 0.659, 650.000, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.323, 2, 0.677, 666.667, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.306, 2, 0.694, 683.333, 0.314, Velocity, 0, 0, 0, 0.628, 1.000
1, 0.289, 2, 0.711, 700.000, 0.315, Velocity, 0, 0, 0, 0.630, 1.000
1, 0.272, 2, 0.728, 716.667, 0.315, Velocity, 0, 0, 0, 0.630, 1.000
