FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 0, 0, 2, 2.000, 1.000
1, 0.918, 2, 0.082, 16.667, 0.795, Velocity, 0, 0, 1.59, 1.590, 1.000
1, 0.883, 2, 0.117, 33.333, 0.797, Velocity, 0, 0, 1.594, 1.594, 1.000
1, 0.856, 2, 0.144, 50.000, 0.797, Velocity, 0, 0, 1.594, 1.594, 1.000
1, 0.834, 2, 0.166, 66.667, 0.796, Velocity, 0, 0, 1.592, 1.592, 1.000
1, 0.814, 2, 0.186, 83.333, 0.795, Velocity, 0, 0, 1.59, 1.590, 1.000
1, 0.795, 2, 0.205, 100.000, 0.797, Velocity, 0, 0, 1.594, 1.594, 1.000
1, 0.778, 2, 0.222, 116.667, 0.796, Velocity, 0, 0, 1.592, 1.592, 1.000
1, 0.762, 2, 0.238, 133.333, 0.795, Velocity, 0, 0, 1.59, 1.590, 1.000
1, 0.747, 2, 0.253, 150.000, 0.795, Velocity, 0, 0, 1.59, 1.590, 1.000
1, 0.732, 2, 0.268, 166.667, 0.793, Velocity, 0, 0, 1.586, 1.586, 1.000
1, 0.718, 2, 0.282, 183.333, 0.794, Velocity, 0, 0, 1.588, 1.588, 1.000
1, 0.705, 2, 0.295, 200.000, 0.796, Velocity, 0, 0, 1.592, 1.592, 1.000
1, 0.692, 2, 0.308, 216.667, 0.795, Velocity, 0, 0, 1.59, 1.590, 1.000
1, 0.679, 2, 0.321, 233.333, 0.796, Velocity, 0, 0, 1.592, 1.592, 1.000
1, 0.667, 2, 0.333, 250.000, 0.797, Velocity, 0, 0, 1.594, 1.594, 1.000
1, 0.655, 2, 0.345, 266.667, 0.797, Velocity, 0, 0, 1.594, 1.594, 1.000
1, 0.643, 2, 0.357, 283.333, 0.797, Velocity, 0, 0, 1.594, 1.594, 1.000
1, 0.631, 2, 0.369, 300.000, 0.795, Velocity, 0, 0, 1.59, 1.590, 1.000
1, 0.620, 2, 0.380, 316.667, 0.794, Velocity, 0, 0, 1.588, 1.588, 1.000
1, 0.608, 2, 0.392, 333.333, 0.793, Velocity, 0, 0, 1.586, 1.586, 1.000
1, 0.597, 2, 0.403, 350.000, 0.788, Velocity, 0, 0, 1.576, 1.576, 1.000
1, 0.586, 2, 0.414, 366.667, 0.783, Velocity, 0, 0, 1.566, 1.566, 1.000
1, 0.575, 2, 0.425, 383.333, 0.769, Velocity, 0, 0, 1.538, 1.538, 1.000
1, 0.564, 2, 0.436, 400.000, 0.75, Velocity, 0, 0, 1.5, 1.500, 1.000
1, 0.553, 2, 0.447, 416.667, 0.742, Velocity, 0, 0, 1.484, 1.484, 1.000
1, 0.543, 2, 0.457, 433.333, 0.727, Velocity, 0, 0, 1.454, 1.454, 1.000
1, 0.532, 2, 0.468, 450.000, 0.721, Velocity, 0, 0, 1.442, 1.442, 1.000
1, 0.521, 2, 0.479, 466.667, 0.712, Velocity, 0, 0, 1.424, 1.424, 1.000
1, 0.511, 2, 0.489, 483.333, 0.708, Velocity, 0, 0, 1.416, 1.416, 1.000
1, 0.500, 2, 0.500, 500.000, 0.704, Velocity, 0, 0, 1.408, 1.408, 1.000
1, 0.489, 2, 0.511, 516.667, 0.7, Velocity, 0, 0, 1.4, 1.400, 1.000
1, 0.479, 2, 0.521, 533.333, 0.699, Velocity, 0, 0, 1.398, 1.398, 1.000
1, 0.468, 2, 0.532, 550.000, 0.696, Velocity, 0, 0, 1.392, 1.392, 1.000
1, 0.457, 2, 0.543, 566.667, 0.695, Velocity, 0, 0, 1.39, 1.390, 1.000
1, 0.447, 2, 0.553, 583.333, 0.688, Velocity, 0, 0, 1.376, 1.376, 1.000
1, 0.436, 2, 0.564, 600.000, 0.684, Velocity, 0, 0, 1.368, 1.368, 1.000
1, 0.425, 2, 0.575, 616.667, 0.676, Velocity, 0, 0, 1.352, 1.352, 1.000
1, 0.414, 2, 0.586, 633.333, 0.67, Velocity, 0, 0, 1.34, 1.340, 1.000
1, 0.403, 2, 0.597, 650.000, 0.665, Velocity, 0, 0, 1.33, 1.330, 1.000
1, 0.392, 2, 0.608, 666.667, 0.654, Velocity, 0, 0, 1.308, 1.308, 1.000
1, 0.380, 2, 0.620, 683.333, 0.651, Velocity, 0, 0, 1.302, 1.302, 1.000
1, 0.369, 2, 0.631, 700.000, 0.642, Velocity, 0, 0, 1.284, 1.284, 1.000
1, 0.357, 2, 0.643, 716.667, 0.624, Velocity, 0, 0, 1.248, 1.248, 1.000
1, 0.345, 2, 0.655, 733.333, 0.617, Velocity, 0, 0, 1.234, 1.234, 1.000
1, 0.333, 2, 0.667, 750.000, 0.601, Velocity, 0, 0, 1.202, 1.202, 1.000
1, 0.321, 2, 0.679, 766.667, 0.594, Velocity, 0, 0, 1.188, 1.188, 1.000
1, 0.308, 2, 0.692, 783.333, 0.58, Velocity, 0, 0, 1.16, 1.160, 1.000
1, 0.295, 2, 0.705, 800.000, 0.571, Velocity, 0, 0, 1.142, 1.142, 1.000
1, 0.282, 2, 0.718, 816.667, 0.557, Velocity, 0, 0, 1.114, 1.114, 1.000
1, 0.268, 2, 0.732, 833.333, 0.545, Velocity, 0, 0, 1.09, 1.090, 1.000
1, 0.253, 2, 0.747, 850.000, 0.54, Velocity, 0, 0, 1.08, 1.080, 1.000
1, 0.238, 2, 0.762, 866.667, 0.526, Velocity, 0, 0, 1.052, 1.052, 1.000
1, 0.222, 2, 0.778, 883.333, 0.52, Velocity, 0, 0, 1.04, 1.040, 1.000
1, 0.205, 2, 0.795, 900.000, 0.51, Velocity, 0, 0, 1.02, 1.020, 1.000
1, 0.186, 2, 0.814, 916.667, 0.498, Velocity, 0, 0, 0.996, 0.996, 1.000
1, 0.166, 2, 0.834, 933.333, 0.486, Velocity, 0, 0, 0.972, 0.972, 1.000
1, 0.144, 2, 0.856, 950.000, 0.48, Velocity, 0, 0, 0.96, 0.960, 1.000
1, 0.117, 2, 0.883, 966.667, 0.471, Velocity, 0, 0, 0.942, 0.942, 1.000
1, 0.082, 2, 0.918, 983.333, 0.466, Velocity, 0, 0, 0.932, 0.932, 1.000
2, 1.000, 3, 0.000, 1000.000, 0.457, Velocity, 0, 0, 0.914, 0.914, 1.000
2, 0.918, 3, 0.082, 1016.667, 0.442, Velocity, 0, 0, 0.884, 0.884, 1.000
2, 0.883, 3, 0.117, 1033.333, 0.438, Velocity, 0, 0, 0.876, 0.876, 1.000
2, 0.856, 3, 0.144, 1050.000, 0.434, Velocity, 0, 0, 0.868, 0.868, 1.000
2, 0.834, 3, 0.166, 1066.667, 0.427, Velocity, 0, 0, 0.854, 0.854, 1.000
2, 0.814, 3, 0.186, 1083.333, 0.423, Velocity, 0, 0, 0.846, 0.846, 1.000
2, 0.795, 3, 0.205, 1100.000, 0.414, Velocity, 0, 0, 0.828, 0.828, 1.000
2, 0.778, 3, 0.222, 1116.667, 0.408, Velocity, 0, 0, 0.816, 0.816, 1.000
2, 0.762, 3, 0.238, 1133.333, 0.401, Velocity, 0, 0, 0.802, 0.802, 1.000
2, 0.747, 3, 0.253, 1150.000, 0.395, Velocity, 0, 0, 0.79, 0.790, 1.000
2, 0.732, 3, 0.268, 1166.667, 0.391, Velocity, 0, 0, 0.782, 0.782, 1.000
2, 0.718, 3, 0.282, 1183.333, 0.38, Velocity, 0, 0, 0.76, 0.760, 1.000
2, 0.705, 3, 0.295, 1200.000, 0.377, Velocity, 0, 0, 0.754, 0.754, 1.000
2, 0.692, 3, 0.308, 1216.667, 0.368, Velocity, 0, 0, 0.736, 0.736, 1.000
2, 0.679, 3, 0.321, 1233.333, 0.363, Velocity, 0, 0, 0.726, 0.726, 1.000
2, 0.667, 3, 0.333, 1250.000, 0.349, Velocity, 0, 0, 0.698, 0.698, 1.000
2, 0.655, 3, 0.345, 1266.667, 0.34, Velocity, 0, 0, 0.68, 0.680, 1.000
2, 0.643, 3, 0.357, 1283.333, 0.336, Velocity, 0, 0, 0.672, 0.672, 1.000
2, 0.631, 3, 0.369, 1300.000, 0.332, Velocity, 0, 0, 0.664, 0.664, 1.000
2, 0.620, 3, 0.380, 1316.667, 0.322, Velocity, 0, 0, 0.644, 0.644, 1.000
2, 0.608, 3, 0.392, 1333.333, 0.315, Velocity, 0, 0, 0.63, 0.630, 1.000
2, 0.597, 3, 0.403, 1350.000, 0.306, Velocity, 0, 0, 0.612, 0.612, 1.000
2, 0.586, 3, 0.414, 1366.667, 0.297, Velocity, 0, 0, 0.594, 0.594, 1.000
2, 0.575, 3, 0.425, 1383.333, 0.293, Velocity, 0, 0, 0.586, 0.586, 1.000
2, 0.564, 3, 0.436, 1400.000, 0.286, Velocity, 0, 0, 0.572, 0.572, 1.000
2, 0.553, 3, 0.447, 1416.667, 0.282, Velocity, 0, 0, 0.564, 0.564, 1.000
2, 0.543, 3, 0.457, 1433.333, 0.279, Velocity, 0, 0, 0.558, 0.558, 1.000
2, 0.532, 3, 0.468, 1450.000, 0.272, Velocity, 0, 0, 0.544, 0.544, 1.000
2, 0.521, 3, 0.479, 1466.667, 0.27, Velocity, 0, 0, 0.54, 0.540, 1.000
2, 0.511, 3, 0.489, 1483.333, 0.264, Velocity, 0, 0, 0.528, 0.528, 1.000
2, 0.500, 3, 0.500, 1500.000, 0.261, Velocity, 0, 0, 0.522, 0.522, 1.000
2, 0.489, 3, 0.511, 1516.667, 0.257, Velocity, 0, 0, 0.514, 0.514, 1.000
2, 0.479, 3, 0.521, 1533.333, 0.252, Velocity, 0, 0, 0.504, 0.504, 1.000
2, 0.468, 3, 0.532, 1550.000, 0.247, Velocity, 0, 0, 0.494, 0.494, 1.000
2, 0.457, 3, 0.543, 1566.667, 0.242, Velocity, 0, 0, 0.484, 0.484, 1.000
2, 0.447, 3, 0.553, 1583.333, 0.239, Velocity, 0, 0, 0.478, 0.478, 1.000
2, 0.436, 3, 0.564, 1600.000, 0.236, Velocity, 0, 0, 0.472, 0.472, 1.000
2, 0.425, 3, 0.575, 1616.667, 0.234, Velocity, 0, 0, 0.468, 0.468, 1.000
2, 0.414, 3, 0.586, 1633.333, 0.229, Velocity, 0, 0, 0.458, 0.458, 1.000
2, 0.403, 3, 0.597, 1650.000, 0.225, Velocity, 0, 0, 0.45, 0.450, 1.000
2, 0.392, 3, 0.608, 1666.667, 0.22, Velocity, 0, 0, 0.44, 0.440, 1.000
2, 0.380, 3, 0.620, 1683.333, 0.216, Velocity, 0, 0, 0.432, 0.432, 1.000
2, 0.369, 3, 0.631, 1700.000, 0.215, Velocity, 0, 0, 0.43, 0.430, 1.000
2, 0.357, 3, 0.643, 1716.667, 0.211, Velocity, 0, 0, 0.422, 0.422, 1.000
2, 0.345, 3, 0.655, 1733.333, 0.209, Velocity, 0, 0, 0.418, 0.418, 1.000
2, 0.333, 3, 0.667, 1750.000, 0.204, Velocity, 0, 0, 0.408, 0.408, 1.000
2, 0.321, 3, 0.679, 1766.667, 0.201, Velocity, 0, 0, 0.402, 0.402, 1.000
2, 0.308, 3, 0.692, 1783.333, 0.2, Velocity, 0, 0, 0.4, 0.400, 1.000
2, 0.295, 3, 0.705, 1800.000, 0.199, Velocity, 0, 0, 0.398, 0.398, 1.000
2, 0.282, 3, 0.718, 1816.667, 0.197, Velocity, 0, 0, 0.394, 0.394, 1.000
2, 0.268, 3, 0.732, 1833.333, 0.195, Velocity, 0, 0, 0.39, 0.390, 1.000
2, 0.253, 3, 0.747, 1850.000, 0.193, Velocity, 0, 0, 0.386, 0.386, 1.000
2, 0.238, 3, 0.762, 1866.667, 0.192, Velocity, 0, 0, 0.384, 0.384, 1.000
2, 0.222, 3, 0.778, 1883.333, 0.19, Velocity, 0, 0, 0.38, 0.380, 1.000
2, 0.205, 3, 0.795, 1900.000, 0.19, Velocity, 0, 0, 0.38, 0.380, 1.000
2, 0.186, 3, 0.814, 1916.667, 0.188, Velocity, 0, 0, 0.376, 0.376, 1.000
2, 0.166, 3, 0.834, 1933.333, 0.188, Velocity, 0, 0, 0.376, 0.376, 1.000
2, 0.144, 3, 0.856, 1950.000, 0.188, Velocity, 0, 0, 0.376, 0.376, 1.000
2, 0.117, 3, 0.883, 1966.667, 0.188, Velocity, 0, 0, 0.376, 0.376, 1.000
2, 0.082, 3, 0.918, 1983.333, 0.187, Velocity, 0, 0, 0.374, 0.374, 1.000
3, 1.000, 4, 0.000, 2000.000, 0.187, Velocity, 0, 0, 0.374, 0.374, 1.000
3, 0.918, 4, 0.082, 2016.667, 0.187, Velocity, 0, 0, 0.374, 0.374, 1.000
3, 0.883, 4, 0.117, 2033.333, 0.187, Velocity, 0, 0, 0.374, 0.374, 1.000
