FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 0, 0, 0, 1.000, 1.000
1, 0.961, 2, 0.039, 16.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.939, 2, 0.061, 33.333, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.919, 2, 0.081, 50.000, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.900, 2, 0.100, 66.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.882, 2, 0.118, 83.333, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.865, 2, 0.135, 100.000, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.848, 2, 0.152, 116.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.832, 2, 0.168, 133.333, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.815, 2, 0.185, 150.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.799, 2, 0.201, 166.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.783, 2, 0.217, 183.333, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.768, 2, 0.232, 200.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.752, 2, 0.248, 216.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.737, 2, 0.263, 233.333, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.722, 2, 0.278, 250.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.707, 2, 0.293, 266.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.692, 2, 0.308, 283.333, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.677, 2, 0.323, 300.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.661, 2, 0.339, 316.667, 0.637, Velocity, 0, 0, 0, 0.637, 1.000
1, 0.647, 2, 0.353, 333.333, 0.637, Velocity, 0, 0, 0, 0.637, 1.000
1, 0.632, 2, 0.368, 350.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.617, 2, 0.383, 366.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.603, 2, 0.397, 383.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.588, 2, 0.412, 400.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.573, 2, 0.427, 416.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.558, 2, 0.442, 433.333, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.544, 2, 0.456, 450.000, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.529, 2, 0.471, 466.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.515, 2, 0.485, 483.333, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.500, 2, 0.500, 500.000, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.485, 2, 0.515, 516.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.471, 2, 0.529, 533.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.456, 2, 0.544, 550.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.441, 2, 0.559, 566.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.427, 2, 0.573, 583.333, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.412, 2, 0.588, 600.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.398, 2, 0.602, 616.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.383, 2, 0.617, 633.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.368, 2, 0.632, 650.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.353, 2, 0.647, 666.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.338, 2, 0.662, 683.333, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.323, 2, 0.677, 700.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.308, 2, 0.692, 716.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.293, 2, 0.707, 733.333, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.278, 2, 0.722, 750.000, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.263, 2, 0.737, 766.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.248, 2, 0.752, 783.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.232, 2, 0.768, 800.000, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
1, 0.217, 2, 0.783, 816.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.201, 2, 0.799, 833.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.185, 2, 0.815, 850.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.169, 2, 0.831, 866.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.153, 2, 0.847, 883.333, 0.637, Velocity, 0, 0, 0, 0.637, 1.000
1, 0.136, 2, 0.864, 900.000, 0.637, Velocity, 0, 0, 0, 0.637, 1.000
1, 0.118, 2, 0.882, 916.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
1, 0.100, 2, 0.900, 933.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.082, 2, 0.918, 950.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.062, 2, 0.938, 966.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
1, 0.039, 2, 0.961, 983.333, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 1.000, 3, 0.000, 1000.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.961, 3, 0.039, 1016.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.938, 3, 0.062, 1033.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.918, 3, 0.082, 1050.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.900, 3, 0.100, 1066.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.882, 3, 0.118, 1083.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.864, 3, 0.136, 1100.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.848, 3, 0.152, 1116.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.831, 3, 0.169, 1133.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.815, 3, 0.185, 1150.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.799, 3, 0.201, 1166.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.783, 3, 0.217, 1183.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.768, 3, 0.232, 1200.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.752, 3, 0.248, 1216.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.737, 3, 0.263, 1233.333, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.721, 3, 0.279, 1250.000, 0.637, Velocity, 0, 0, 0, 0.637, 1.000
2, 0.707, 3, 0.293, 1266.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.692, 3, 0.308, 1283.333, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
2, 0.677, 3, 0.323, 1300.000, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
2, 0.662, 3, 0.338, 1316.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
2, 0.647, 3, 0.353, 1333.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.632, 3, 0.368, 1350.000, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
2, 0.617, 3, 0.383, 1366.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.603, 3, 0.397, 1383.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.588, 3, 0.412, 1400.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.573, 3, 0.427, 1416.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.559, 3, 0.441, 1433.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.544, 3, 0.456, 1450.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.529, 3, 0.471, 1466.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
2, 0.515, 3, 0.485, 1483.333, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.500, 3, 0.500, 1500.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.485, 3, 0.515, 1516.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.471, 3, 0.529, 1533.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.456, 3, 0.544, 1550.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.441, 3, 0.559, 1566.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.427, 3, 0.573, 1583.333, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.412, 3, 0.588, 1600.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.397, 3, 0.603, 1616.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.383, 3, 0.617, 1633.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.368, 3, 0.632, 1650.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.353, 3, 0.647, 1666.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.338, 3, 0.662, 1683.333, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
2, 0.323, 3, 0.677, 1700.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.308, 3, 0.692, 1716.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.293, 3, 0.707, 1733.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.278, 3, 0.722, 1750.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.263, 3, 0.737, 1766.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.248, 3, 0.752, 1783.333, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.232, 3, 0.768, 1800.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.217, 3, 0.783, 1816.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.201, 3, 0.799, 1833.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.185, 3, 0.815, 1850.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.169, 3, 0.831, 1866.667, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.152, 3, 0.848, 1883.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.136, 3, 0.864, 1900.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.118, 3, 0.882, 1916.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.100, 3, 0.900, 1933.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
2, 0.082, 3, 0.918, 1950.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
2, 0.061, 3, 0.939, 1966.667, 0.634, Velocity, 0, 0, 0, 0.634, 1.000
2, 0.039, 3, 0.961, 1983.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
3, 1.000, 4, 0.000, 2000.000, 0.636, Velocity, 0, 0, 0, 0.636, 1.000
3, 0.961, 4, 0.039, 2016.667, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
3, 0.938, 4, 0.062, 2033.333, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
3, 0.918, 4, 0.082, 2050.000, 0.635, Velocity, 0, 0, 0, 0.635, 1.000
