FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 0, 0, 2, 0.218, 1.000
1, 1.000, 2, 0.000, 16.667, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.998, 2, 0.002, 33.333, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.995, 2, 0.005, 50.000, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.991, 2, 0.009, 66.667, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.985, 2, 0.015, 83.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.978, 2, 0.022, 100.000, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.969, 2, 0.031, 116.667, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.960, 2, 0.040, 133.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.949, 2, 0.051, 150.000, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.936, 2, 0.064, 166.667, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.923, 2, 0.077, 183.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.908, 2, 0.092, 200.000, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.892, 2, 0.108, 216.667, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.875, 2, 0.125, 233.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.857, 2, 0.143, 250.000, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.838, 2, 0.162, 266.667, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.818, 2, 0.182, 283.333, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.797, 2, 0.203, 300.000, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.775, 2, 0.225, 316.667, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.753, 2, 0.247, 333.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.729, 2, 0.271, 350.000, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.706, 2, 0.294, 366.667, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.681, 2, 0.319, 383.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.656, 2, 0.344, 400.000, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.631, 2, 0.369, 416.667, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.605, 2, 0.395, 433.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.579, 2, 0.421, 450.000, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.553, 2, 0.447, 466.667, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.526, 2, 0.474, 483.333, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.500, 2, 0.500, 500.000, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.474, 2, 0.526, 516.667, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.447, 2, 0.553, 533.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.421, 2, 0.579, 550.000, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.395, 2, 0.605, 566.667, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.369, 2, 0.631, 583.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.344, 2, 0.656, 600.000, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.319, 2, 0.681, 616.667, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.294, 2, 0.706, 633.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.271, 2, 0.729, 650.000, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.247, 2, 0.753, 666.667, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.225, 2, 0.775, 683.333, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.203, 2, 0.797, 700.000, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.182, 2, 0.818, 716.667, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.162, 2, 0.838, 733.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.143, 2, 0.857, 750.000, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.125, 2, 0.875, 766.667, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.108, 2, 0.892, 783.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
1, 0.092, 2, 0.908, 800.000, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.077, 2, 0.923, 816.667, 0.265, Velocity, 0, 0, 0.53, 0.218, 1.000
1, 0.064, 2, 0.936, 833.333, 0.266, Velocity, 0, 0, 0.532, 0.218, 1.000
