FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 0, 0, 2, 0.734, 1.000
1, 0.945, 2, 0.055, 16.667, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.918, 2, 0.082, 33.333, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.895, 2, 0.105, 50.000, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.875, 2, 0.125, 66.667, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.856, 2, 0.144, 83.333, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.839, 2, 0.161, 100.000, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.822, 2, 0.178, 116.667, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.805, 2, 0.195, 133.333, 0.03, Velocity, 0, 0, 0.06, 0.734, 1.000
1, 0.790, 2, 0.210, 150.000, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.774, 2, 0.226, 166.667, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.759, 2, 0.241, 183.333, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.744, 2, 0.256, 200.000, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.730, 2, 0.270, 216.667, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.715, 2, 0.285, 233.333, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.701, 2, 0.299, 250.000, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.687, 2, 0.313, 266.667, 0.03, Velocity, 0, 0, 0.06, 0.734, 1.000
1, 0.673, 2, 0.327, 283.333, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.660, 2, 0.340, 300.000, 0.03, Velocity, 0, 0, 0.06, 0.734, 1.000
1, 0.646, 2, 0.354, 316.667, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.632, 2, 0.368, 333.333, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.619, 2, 0.381, 350.000, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.606, 2, 0.394, 366.667, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.592, 2, 0.408, 383.333, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.579, 2, 0.421, 400.000, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.566, 2, 0.434, 416.667, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.553, 2, 0.447, 433.333, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.539, 2, 0.461, 450.000, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.526, 2, 0.474, 466.667, 0.029, Velocity, 0, 0, 0.058, 0.734, 1.000
1, 0.513, 2, 0.487, 483.333, 0.028, Velocity, 0, 0, 0.056, 0.734, 1.000
1, 0.500, 2, 0.500, 500.000, 0.028, Velocity, 0, 0, 0.056, 0.734, 1.000
1, 0.487, 2, 0.513, 516.667, 0.027, Velocity, 0, 0, 0.054, 0.734, 1.000
1, 0.474, 2, 0.526, 533.333, 0.026, Velocity, 0, 0, 0.052, 0.734, 1.000
1, 0.461, 2, 0.539, 550.000, 0.023, Velocity, 0, 0, 0.046, 0.734, 1.000
1, 0.447, 2, 0.553, 566.667, 0.022, Velocity, 0, 0, 0.044, 0.734, 1.000
1, 0.434, 2, 0.566, 583.333, 0.019, Velocity, 0, 0, 0.038, 0.734, 1.000
1, 0.421, 2, 0.579, 600.000, 0.017, Velocity, 0, 0, 0.034, 0.734, 1.000
1, 0.408, 2, 0.592, 616.667, 0.014, Velocity, 0, 0, 0.028, 0.734, 1.000
1, 0.394, 2, 0.606, 633.333, 0.013, Velocity, 0, 0, 0.026, 0.734, 1.000
1, 0.381, 2, 0.619, 650.000, 0.01, Velocity, 0, 0, 0.02, 0.734, 1.000
1, 0.368, 2, 0.632, 666.667, 0.008, Velocity, 0, 0, 0.016, 0.734, 1.000
1, 0.354, 2, 0.646, 683.333, 0.006, Velocity, 0, 0, 0.012, 0.734, 1.000
1, 0.340, 2, 0.660, 700.000, 0.004, Velocity, 0, 0, 0.008, 0.734, 1.000
1, 0.327, 2, 0.673, 716.667, 0.001, Velocity, 0, 0, 0.002, 0.734, 1.000
1, 0.313, 2, 0.687, 733.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.299, 2, 0.701, 750.000, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.285, 2, 0.715, 766.667, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.270, 2, 0.730, 783.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.256, 2, 0.744, 800.000, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.241, 2, 0.759, 816.667, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.226, 2, 0.774, 833.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.210, 2, 0.790, 850.000, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.195, 2, 0.805, 866.667, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.178, 2, 0.822, 883.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.161, 2, 0.839, 900.000, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.144, 2, 0.856, 916.667, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.125, 2, 0.875, 933.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.105, 2, 0.895, 950.000, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.082, 2, 0.918, 966.667, 0, Velocity, 0, 0, 0, 0.734, 1.000
1, 0.055, 2, 0.945, 983.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 1.000, 3, 0.000, 1000.000, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.945, 3, 0.055, 1016.667, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.918, 3, 0.082, 1033.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.895, 3, 0.105, 1050.000, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.875, 3, 0.125, 1066.667, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.856, 3, 0.144, 1083.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.839, 3, 0.161, 1100.000, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.822, 3, 0.178, 1116.667, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.805, 3, 0.195, 1133.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.790, 3, 0.210, 1150.000, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.774, 3, 0.226, 1166.667, 0, Velocity, 0, 0, 0, 0.734, 1.000
2, 0.759, 3, 0.241, 1183.333, 0, Velocity, 0, 0, 0, 0.734, 1.000
