FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 0, 2, 2
1, 0.992, 2, 0.008, 16.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.983, 2, 0.017, 33.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.975, 2, 0.025, 50.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.967, 2, 0.033, 66.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.958, 2, 0.042, 83.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.950, 2, 0.050, 100.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.942, 2, 0.058, 116.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.933, 2, 0.067, 133.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.925, 2, 0.075, 150.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.917, 2, 0.083, 166.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.908, 2, 0.092, 183.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.900, 2, 0.100, 200.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.892, 2, 0.108, 216.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.883, 2, 0.117, 233.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.875, 2, 0.125, 250.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.867, 2, 0.133, 266.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.858, 2, 0.142, 283.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.850, 2, 0.150, 300.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.842, 2, 0.158, 316.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.833, 2, 0.167, 333.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.825, 2, 0.175, 350.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.817, 2, 0.183, 366.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.808, 2, 0.192, 383.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.800, 2, 0.200, 400.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.792, 2, 0.208, 416.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.783, 2, 0.217, 433.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.775, 2, 0.225, 450.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.767, 2, 0.233, 466.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.758, 2, 0.242, 483.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.750, 2, 0.250, 500.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.742, 2, 0.258, 516.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.733, 2, 0.267, 533.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.725, 2, 0.275, 550.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.717, 2, 0.283, 566.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.708, 2, 0.292, 583.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.700, 2, 0.300, 600.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.692, 2, 0.308, 616.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.683, 2, 0.317, 633.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.675, 2, 0.325, 650.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.667, 2, 0.333, 666.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.658, 2, 0.342, 683.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.650, 2, 0.350, 700.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.642, 2, 0.358, 716.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.633, 2, 0.367, 733.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.625, 2, 0.375, 750.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.617, 2, 0.383, 766.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.608, 2, 0.392, 783.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.600, 2, 0.400, 800.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.592, 2, 0.408, 816.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.583, 2, 0.417, 833.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.575, 2, 0.425, 850.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.567, 2, 0.433, 866.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.558, 2, 0.442, 883.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.550, 2, 0.450, 900.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.542, 2, 0.458, 916.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.533, 2, 0.467, 933.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.525, 2, 0.475, 950.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.517, 2, 0.483, 966.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.508, 2, 0.492, 983.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.500, 2, 0.500, 1000.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.492, 2, 0.508, 1016.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.483, 2, 0.517, 1033.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.475, 2, 0.525, 1050.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.467, 2, 0.533, 1066.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.458, 2, 0.542, 1083.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.450, 2, 0.550, 1100.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.442, 2, 0.558, 1116.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.433, 2, 0.567, 1133.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.425, 2, 0.575, 1150.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.417, 2, 0.583, 1166.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.408, 2, 0.592, 1183.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.400, 2, 0.600, 1200.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.392, 2, 0.608, 1216.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.383, 2, 0.617, 1233.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.375, 2, 0.625, 1250.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.367, 2, 0.633, 1266.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.358, 2, 0.642, 1283.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.350, 2, 0.650, 1300.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.342, 2, 0.658, 1316.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.333, 2, 0.667, 1333.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.325, 2, 0.675, 1350.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.317, 2, 0.683, 1366.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.308, 2, 0.692, 1383.333, 0.34, Velocity, 0, 0.02000001, 0.68
1, 0.300, 2, 0.700, 1400.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.292, 2, 0.708, 1416.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.283, 2, 0.717, 1433.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.275, 2, 0.725, 1450.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.267, 2, 0.733, 1466.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.258, 2, 0.742, 1483.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.250, 2, 0.750, 1500.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.242, 2, 0.758, 1516.667, 0.338, Velocity, 0, 0.014, 0.676
1, 0.233, 2, 0.767, 1533.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.225, 2, 0.775, 1550.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.217, 2, 0.783, 1566.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.208, 2, 0.792, 1583.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.200, 2, 0.800, 1600.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.192, 2, 0.808, 1616.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.183, 2, 0.817, 1633.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.175, 2, 0.825, 1650.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.167, 2, 0.833, 1666.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.158, 2, 0.842, 1683.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.150, 2, 0.850, 1700.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.142, 2, 0.858, 1716.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.133, 2, 0.867, 1733.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.125, 2, 0.875, 1750.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.117, 2, 0.883, 1766.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.108, 2, 0.892, 1783.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.100, 2, 0.900, 1800.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.092, 2, 0.908, 1816.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.083, 2, 0.917, 1833.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.075, 2, 0.925, 1850.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.067, 2, 0.933, 1866.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.058, 2, 0.942, 1883.333, 0.338, Velocity, 0, 0.014, 0.676
1, 0.050, 2, 0.950, 1900.000, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.042, 2, 0.958, 1916.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.033, 2, 0.967, 1933.333, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.025, 2, 0.975, 1950.000, 0.338, Velocity, 0, 0.014, 0.676
1, 0.017, 2, 0.983, 1966.667, 0.339, Velocity, 0, 0.01699996, 0.678
1, 0.008, 2, 0.992, 1983.333, 0.338, Velocity, 0, 0.014, 0.676
2, 1.000, 3, 0.000, 2000.000, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.992, 3, 0.008, 2016.667, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.983, 3, 0.017, 2033.333, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.975, 3, 0.025, 2050.000, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.967, 3, 0.033, 2066.667, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.958, 3, 0.042, 2083.333, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.950, 3, 0.050, 2100.000, 0.338, Velocity, 0, 0.014, 0.676
2, 0.942, 3, 0.058, 2116.667, 0.338, Velocity, 0, 0.014, 0.676
2, 0.933, 3, 0.067, 2133.333, 0.338, Velocity, 0, 0.014, 0.676
2, 0.925, 3, 0.075, 2150.000, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.917, 3, 0.083, 2166.667, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.908, 3, 0.092, 2183.333, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.900, 3, 0.100, 2200.000, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.892, 3, 0.108, 2216.667, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.883, 3, 0.117, 2233.333, 0.338, Velocity, 0, 0.014, 0.676
2, 0.875, 3, 0.125, 2250.000, 0.337, Velocity, 0, 0.01100004, 0.674
2, 0.867, 3, 0.133, 2266.667, 0.337, Velocity, 0, 0.01100004, 0.674
2, 0.858, 3, 0.142, 2283.333, 0.338, Velocity, 0, 0.014, 0.676
2, 0.850, 3, 0.150, 2300.000, 0.338, Velocity, 0, 0.014, 0.676
2, 0.842, 3, 0.158, 2316.667, 0.338, Velocity, 0, 0.014, 0.676
2, 0.833, 3, 0.167, 2333.333, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.825, 3, 0.175, 2350.000, 0.339, Velocity, 0, 0.01699996, 0.678
2, 0.817, 3, 0.183, 2366.667, 0.339, Velocity, 0, 0.01699996, 0.678
