FrameNum, Time, Vection Response 
1,0,0
2,16.6667,0
3,33.3333,0
4,50,0
5,66.6667,0
6,83.3333,0
7,100,0
8,116.6667,0
9,133.3333,0
10,150,0
11,166.6667,0
12,183.3333,0
13,200,0
14,216.6667,0
15,233.3333,0
16,250,0
17,266.6667,0
18,283.3334,0
19,300,0
20,316.6667,0
21,333.3333,0
22,350,0
23,366.6667,0
24,383.3333,0
25,400,0
26,416.6667,0
27,433.3334,0
28,450,0
29,466.6667,0
30,483.3333,0
31,500,0
32,516.6667,0
33,533.3334,0
34,550,0
35,566.6667,0
36,583.3334,0
37,600,0
38,616.6667,0
39,633.3334,0
40,650.0001,0
41,666.6667,0
42,683.3334,0
43,700.0001,0
44,716.6667,0
45,733.3334,0
46,750.0001,0
47,766.6667,0
48,783.3334,0
49,800.0001,0
50,816.6667,0
51,833.3334,0
52,850,0
53,866.6667,0
54,883.3334,0
55,900.0001,0
56,916.6667,0
57,933.3334,0
58,950.0001,0
59,966.6667,0
60,983.3334,0
61,1000,0
62,1016.667,0
63,1033.333,0
64,1050,0
65,1066.667,0
66,1083.333,0
67,1100,0
68,1116.667,0
69,1133.333,0
70,1150,0
71,1166.667,0
72,1183.333,0
73,1200,0
74,1216.667,0
75,1233.333,0
76,1250,0
77,1266.667,0
78,1283.333,0
79,1300,0
80,1316.667,0
81,1333.333,0
82,1350,0
83,1366.667,0
84,1383.333,0
85,1400,0
86,1416.667,0
87,1433.333,0
88,1450,0
89,1466.667,0
90,1483.333,0
91,1500,0
92,1516.667,0
93,1533.333,0
94,1550,0
95,1566.667,0
96,1583.333,0
97,1600,0
98,1616.667,0
99,1633.333,0
100,1650,0
101,1666.667,0
102,1683.333,0
103,1700,0
104,1716.667,0
105,1733.333,0
106,1750,0
107,1766.667,0
108,1783.333,0
109,1800,0
110,1816.667,0
111,1833.333,0
112,1850,0
113,1866.667,0
114,1883.333,0
115,1900,0
116,1916.667,0
117,1933.333,0
118,1950,0
119,1966.667,0
120,1983.333,0
121,2000,0
122,2016.667,0
123,2033.333,0
124,2050,0
125,2066.667,0
126,2083.333,0
127,2100,0
128,2116.667,0
129,2133.333,0
130,2150,0
131,2166.667,0
132,2183.333,0
133,2200,0
134,2216.667,0
135,2233.333,0
136,2250,0
137,2266.667,0
138,2283.333,0
139,2300,0
140,2316.667,0
141,2333.333,0
142,2350,0
143,2366.667,0
144,2383.333,0
145,2400,0
146,2416.667,0
147,2433.333,0
148,2450,0
149,2466.667,0
150,2483.333,0
151,2500,0
152,2516.667,0
153,2533.333,0
154,2550,0
155,2566.667,0
156,2583.333,0
157,2600,0
158,2616.667,0
159,2633.333,0
160,2650,0
161,2666.667,0
162,2683.333,0
163,2700,0
164,2716.667,0
165,2733.333,0
166,2750,0
167,2766.667,1
168,2783.333,1
169,2800,1
170,2816.667,1
171,2833.333,1
172,2850,1
173,2866.667,1
174,2883.333,1
175,2900,1
176,2916.667,1
177,2933.333,1
178,2950,1
179,2966.667,1
180,2983.333,1
181,3000,1
182,3016.667,1
183,3033.333,1
184,3050,1
185,3066.667,1
186,3083.333,1
187,3100,1
188,3116.667,1
189,3133.333,1
190,3150,1
191,3166.667,1
192,3183.333,1
193,3200,1
194,3216.667,1
195,3233.333,1
196,3250,0
197,3266.667,0
198,3283.333,0
199,3300,0
200,3316.667,0
201,3333.333,0
202,3350,0
203,3366.667,0
204,3383.333,0
205,3400,0
206,3416.667,0
207,3433.333,0
208,3450,0
209,3466.667,0
210,3483.333,0
211,3500,0
212,3516.667,0
213,3533.333,0
214,3550,0
215,3566.667,0
216,3583.333,0
217,3600,0
218,3616.667,0
219,3633.333,0
220,3650,0
221,3666.667,0
222,3683.334,0
223,3700,0
224,3716.667,0
225,3733.333,0
226,3750,0
227,3766.667,0
228,3783.333,0
229,3800,0
230,3816.667,0
231,3833.333,0
232,3850,0
233,3866.667,0
234,3883.333,0
235,3900,0
236,3916.667,0
237,3933.334,0
238,3950,0
239,3966.667,0
240,3983.333,0
241,4000,0
242,4016.667,0
243,4033.334,0
244,4050,0
245,4066.667,0
246,4083.333,0
247,4100,0
248,4116.667,0
249,4133.333,0
250,4150,0
251,4166.667,0
252,4183.333,1
253,4200,1
254,4216.667,1
255,4233.333,1
256,4250,1
257,4266.667,1
258,4283.334,1
259,4300,1
260,4316.667,1
261,4333.333,1
262,4350,1
263,4366.667,1
264,4383.333,1
265,4400,1
266,4416.667,1
267,4433.333,1
268,4450,1
269,4466.667,1
270,4483.333,1
271,4500,1
272,4516.667,1
273,4533.334,1
274,4550,1
275,4566.667,1
276,4583.333,1
277,4600,1
278,4616.667,1
279,4633.333,1
280,4650,1
281,4666.667,1
282,4683.333,1
283,4700,1
284,4716.667,1
285,4733.333,1
286,4750,1
287,4766.667,1
288,4783.334,1
289,4800,1
290,4816.667,1
291,4833.333,1
292,4850,1
