FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 1, 2, 1.209057, 1.000, 1.000
1, 0.971, 2, 0.029, 16.667, 0.826, Velocity, 1, 1.478, 1.307294, 0.826, 1.000
1, 0.948, 2, 0.052, 33.333, 0.826, Velocity, 1, 1.478, 1.456727, 0.826, 1.000
1, 0.928, 2, 0.072, 50.000, 0.827, Velocity, 1, 1.481, 1.602377, 0.827, 1.000
1, 0.910, 2, 0.090, 66.667, 0.827, Velocity, 1, 1.481, 1.7405, 0.827, 1.000
1, 0.893, 2, 0.107, 83.333, 0.825, Velocity, 1, 1.475, 1.866983, 0.825, 1.000
1, 0.877, 2, 0.123, 100.000, 0.825, Velocity, 1, 1.475, 1.986968, 0.825, 1.000
1, 0.861, 2, 0.139, 116.667, 0.825, Velocity, 1, 1.475, 2.096139, 0.825, 1.000
1, 0.846, 2, 0.154, 133.333, 0.825, Velocity, 1, 1.475, 2.1933, 0.825, 1.000
1, 0.830, 2, 0.170, 150.000, 0.825, Velocity, 1, 1.475, 2.277387, 0.825, 1.000
1, 0.813, 2, 0.187, 166.667, 0.825, Velocity, 1, 1.475, 2.34748, 0.825, 1.000
1, 0.795, 2, 0.205, 183.333, 0.826, Velocity, 1, 1.478, 2.405662, 0.826, 1.000
1, 0.776, 2, 0.224, 200.000, 0.826, Velocity, 1, 1.478, 2.445702, 0.826, 1.000
1, 0.753, 2, 0.247, 216.667, 0.826, Velocity, 1, 1.478, 2.469903, 0.826, 1.000
1, 0.722, 2, 0.278, 233.333, 0.826, Velocity, 1, 1.478, 2.478, 0.826, 1.000
1, 0.590, 2, 0.410, 250.000, 0.827, Velocity, 1, 1.481, 2.472887, 0.827, 1.000
1, 0.556, 2, 0.444, 266.667, 0.828, Velocity, 1, 1.484, 2.451571, 0.828, 1.000
