FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 1, 2, 1.209057, 1.000, 1.000
1, 0.968, 2, 0.032, 16.667, 0.638, Velocity, 1, 0.914, 1.190031, 0.638, 1.000
1, 0.939, 2, 0.061, 33.333, 0.638, Velocity, 1, 0.914, 1.282442, 0.638, 1.000
1, 0.912, 2, 0.088, 50.000, 0.638, Velocity, 1, 0.914, 1.371757, 0.638, 1.000
1, 0.887, 2, 0.113, 66.667, 0.638, Velocity, 1, 0.914, 1.457, 0.638, 1.000
1, 0.864, 2, 0.136, 83.333, 0.638, Velocity, 1, 0.914, 1.537236, 0.638, 1.000
1, 0.842, 2, 0.158, 100.000, 0.638, Velocity, 1, 0.914, 1.611585, 0.638, 1.000
1, 0.821, 2, 0.179, 116.667, 0.638, Velocity, 1, 0.914, 1.679234, 0.638, 1.000
1, 0.801, 2, 0.199, 133.333, 0.638, Velocity, 1, 0.914, 1.739442, 0.638, 1.000
1, 0.782, 2, 0.218, 150.000, 0.638, Velocity, 1, 0.914, 1.791547, 0.638, 1.000
1, 0.762, 2, 0.238, 166.667, 0.638, Velocity, 1, 0.914, 1.834981, 0.638, 1.000
1, 0.744, 2, 0.256, 183.333, 0.638, Velocity, 1, 0.914, 1.869266, 0.638, 1.000
1, 0.725, 2, 0.275, 200.000, 0.638, Velocity, 1, 0.914, 1.894027, 0.638, 1.000
1, 0.706, 2, 0.294, 216.667, 0.638, Velocity, 1, 0.914, 1.908993, 0.638, 1.000
1, 0.686, 2, 0.314, 233.333, 0.638, Velocity, 1, 0.914, 1.914, 0.638, 1.000
1, 0.667, 2, 0.333, 250.000, 0.639, Velocity, 1, 0.917, 1.911977, 0.639, 1.000
1, 0.646, 2, 0.354, 266.667, 0.638, Velocity, 1, 0.914, 1.894027, 0.638, 1.000
1, 0.625, 2, 0.375, 283.333, 0.637, Velocity, 1, 0.9110001, 1.866413, 0.637, 1.000
1, 0.603, 2, 0.397, 300.000, 0.638, Velocity, 1, 0.914, 1.83498, 0.638, 1.000
1, 0.580, 2, 0.420, 316.667, 0.638, Velocity, 1, 0.914, 1.791547, 0.638, 1.000
1, 0.555, 2, 0.445, 333.333, 0.638, Velocity, 1, 0.914, 1.739441, 0.638, 1.000
1, 0.528, 2, 0.472, 350.000, 0.638, Velocity, 1, 0.914, 1.679234, 0.638, 1.000
1, 0.498, 2, 0.502, 366.667, 0.638, Velocity, 1, 0.914, 1.611585, 0.638, 1.000
1, 0.465, 2, 0.535, 383.333, 0.638, Velocity, 1, 0.914, 1.537235, 0.638, 1.000
1, 0.428, 2, 0.572, 400.000, 0.637, Velocity, 1, 0.9110001, 1.455499, 0.637, 1.000
1, 0.386, 2, 0.614, 416.667, 0.638, Velocity, 1, 0.914, 1.371756, 0.638, 1.000
1, 0.337, 2, 0.663, 433.333, 0.638, Velocity, 1, 0.914, 1.282441, 0.638, 1.000
1, 0.278, 2, 0.722, 450.000, 0.638, Velocity, 1, 0.914, 1.19003, 0.638, 1.000
1, 0.207, 2, 0.793, 466.667, 0.639, Velocity, 1, 0.917, 1.095851, 0.639, 1.000
1, 0.117, 2, 0.883, 483.333, 0.638, Velocity, 1, 0.914, 0.9999988, 0.638, 1.000
