FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 1, 2, 1.209057, 1.000, 1.000
1, 0.980, 2, 0.020, 16.667, 0.289, Velocity, 1, -0.133, 0.9723477, 0.289, 1.000
1, 0.961, 2, 0.039, 33.333, 0.289, Velocity, 1, -0.133, 0.9589007, 0.289, 1.000
1, 0.941, 2, 0.059, 50.000, 0.289, Velocity, 1, -0.133, 0.945904, 0.289, 1.000
1, 0.922, 2, 0.078, 66.667, 0.29, Velocity, 1, -0.13, 0.935, 0.290, 1.000
1, 0.904, 2, 0.096, 83.333, 0.29, Velocity, 1, -0.13, 0.9235879, 0.290, 1.000
1, 0.886, 2, 0.114, 100.000, 0.289, Velocity, 1, -0.133, 0.9110056, 0.289, 1.000
1, 0.868, 2, 0.132, 116.667, 0.289, Velocity, 1, -0.133, 0.9011617, 0.289, 1.000
1, 0.850, 2, 0.150, 133.333, 0.289, Velocity, 1, -0.133, 0.8924007, 0.289, 1.000
1, 0.833, 2, 0.167, 150.000, 0.289, Velocity, 1, -0.133, 0.8848186, 0.289, 1.000
1, 0.815, 2, 0.185, 166.667, 0.289, Velocity, 1, -0.133, 0.8784984, 0.289, 1.000
1, 0.798, 2, 0.202, 183.333, 0.289, Velocity, 1, -0.133, 0.8735095, 0.289, 1.000
1, 0.782, 2, 0.218, 200.000, 0.289, Velocity, 1, -0.133, 0.8699064, 0.289, 1.000
1, 0.765, 2, 0.235, 216.667, 0.289, Velocity, 1, -0.133, 0.8677286, 0.289, 1.000
1, 0.749, 2, 0.251, 233.333, 0.289, Velocity, 1, -0.133, 0.867, 0.289, 1.000
1, 0.732, 2, 0.268, 250.000, 0.289, Velocity, 1, -0.133, 0.8677286, 0.289, 1.000
1, 0.716, 2, 0.284, 266.667, 0.289, Velocity, 1, -0.133, 0.8699064, 0.289, 1.000
1, 0.700, 2, 0.300, 283.333, 0.29, Velocity, 1, -0.13, 0.8763626, 0.290, 1.000
1, 0.684, 2, 0.316, 300.000, 0.29, Velocity, 1, -0.13, 0.8812391, 0.290, 1.000
1, 0.668, 2, 0.332, 316.667, 0.29, Velocity, 1, -0.13, 0.8874167, 0.290, 1.000
1, 0.653, 2, 0.347, 333.333, 0.29, Velocity, 1, -0.13, 0.8948278, 0.290, 1.000
1, 0.637, 2, 0.363, 350.000, 0.29, Velocity, 1, -0.13, 0.9033912, 0.290, 1.000
1, 0.622, 2, 0.378, 366.667, 0.29, Velocity, 1, -0.13, 0.9130131, 0.290, 1.000
1, 0.606, 2, 0.394, 383.333, 0.289, Velocity, 1, -0.133, 0.9218246, 0.289, 1.000
1, 0.591, 2, 0.409, 400.000, 0.289, Velocity, 1, -0.133, 0.9335001, 0.289, 1.000
1, 0.576, 2, 0.424, 416.667, 0.289, Velocity, 1, -0.133, 0.9459041, 0.289, 1.000
1, 0.561, 2, 0.439, 433.333, 0.29, Velocity, 1, -0.13, 0.9598279, 0.290, 1.000
1, 0.545, 2, 0.455, 450.000, 0.29, Velocity, 1, -0.13, 0.9729716, 0.290, 1.000
