FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 0, 0, 0, 1.500, 1.000
1, 0.997, 2, 0.003, 16.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.993, 2, 0.007, 33.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.989, 2, 0.011, 50.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.985, 2, 0.015, 66.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.980, 2, 0.020, 83.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.974, 2, 0.026, 100.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.967, 2, 0.033, 116.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.959, 2, 0.041, 133.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.950, 2, 0.050, 150.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.939, 2, 0.061, 166.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.928, 2, 0.072, 183.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.915, 2, 0.085, 200.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.901, 2, 0.099, 216.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.885, 2, 0.115, 233.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.868, 2, 0.132, 250.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.851, 2, 0.149, 266.667, 0.656, Velocity, 0, 0, 0, 0.812, 1.000
1, 0.831, 2, 0.169, 283.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.811, 2, 0.189, 300.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.789, 2, 0.211, 316.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.766, 2, 0.234, 333.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.743, 2, 0.257, 350.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.718, 2, 0.282, 366.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.693, 2, 0.307, 383.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.667, 2, 0.333, 400.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.640, 2, 0.360, 416.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.613, 2, 0.387, 433.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.585, 2, 0.415, 450.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.557, 2, 0.443, 466.667, 0.653, Velocity, 0, 0, 0, 0.806, 1.000
1, 0.528, 2, 0.472, 483.333, 0.653, Velocity, 0, 0, 0, 0.806, 1.000
1, 0.500, 2, 0.500, 500.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.472, 2, 0.528, 516.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.443, 2, 0.557, 533.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.415, 2, 0.585, 550.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.387, 2, 0.613, 566.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.360, 2, 0.640, 583.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.333, 2, 0.667, 600.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.307, 2, 0.693, 616.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.282, 2, 0.718, 633.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.257, 2, 0.743, 650.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.234, 2, 0.766, 666.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.211, 2, 0.789, 683.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.189, 2, 0.811, 700.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.169, 2, 0.831, 716.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.150, 2, 0.850, 733.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.131, 2, 0.869, 750.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.115, 2, 0.885, 766.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.099, 2, 0.901, 783.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.085, 2, 0.915, 800.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.072, 2, 0.928, 816.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.061, 2, 0.939, 833.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.050, 2, 0.950, 850.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.041, 2, 0.959, 866.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
1, 0.033, 2, 0.967, 883.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.026, 2, 0.974, 900.000, 0.656, Velocity, 0, 0, 0, 0.812, 1.000
1, 0.020, 2, 0.980, 916.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.015, 2, 0.985, 933.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.010, 2, 0.990, 950.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.007, 2, 0.993, 966.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
1, 0.003, 2, 0.997, 983.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 1.000, 3, 0.000, 1000.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.997, 3, 0.003, 1016.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.993, 3, 0.007, 1033.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.989, 3, 0.011, 1050.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.985, 3, 0.015, 1066.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.980, 3, 0.020, 1083.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.974, 3, 0.026, 1100.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.967, 3, 0.033, 1116.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.959, 3, 0.041, 1133.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.950, 3, 0.050, 1150.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.940, 3, 0.060, 1166.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.928, 3, 0.072, 1183.333, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.915, 3, 0.085, 1200.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.901, 3, 0.099, 1216.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.886, 3, 0.114, 1233.333, 0.656, Velocity, 0, 0, 0, 0.812, 1.000
2, 0.868, 3, 0.132, 1250.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.850, 3, 0.150, 1266.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.831, 3, 0.169, 1283.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.811, 3, 0.189, 1300.000, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.789, 3, 0.211, 1316.667, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.766, 3, 0.234, 1333.333, 0.654, Velocity, 0, 0, 0, 0.808, 1.000
2, 0.743, 3, 0.257, 1350.000, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
2, 0.718, 3, 0.282, 1366.667, 0.655, Velocity, 0, 0, 0, 0.810, 1.000
