secIndex,frameName,rtW,rtH,x_bl,y_bl,w,h,x_tl,y_tl,w_tl,h_tl,valid
0,cam1_000.png,3440,710,1930,0,379,634,1930,76,379,634,1
1,cam1_001.png,3440,710,1860,0,366,634,1860,76,366,634,1
2,cam1_002.png,3440,710,1790,0,367,634,1790,76,367,634,1
3,cam1_003.png,3440,710,1720,0,367,634,1720,76,367,634,1
4,cam1_004.png,3440,710,1650,0,367,634,1650,76,367,634,1
5,cam1_005.png,3440,710,1580,0,367,634,1580,76,367,634,1
6,cam1_006.png,3440,710,1510,0,368,634,1510,76,368,634,1
7,cam1_007.png,3440,710,1440,0,368,634,1440,76,368,634,1
8,cam1_008.png,3440,710,1370,0,368,634,1370,76,368,634,1
9,cam1_009.png,3440,710,1300,0,368,634,1300,76,368,634,1
10,cam1_010.png,3440,710,1231,0,368,634,1231,76,368,634,1
11,cam1_011.png,3440,710,1161,0,368,634,1161,76,368,634,1
12,cam1_012.png,3440,710,1091,0,368,634,1091,76,368,634,1
13,cam1_013.png,3440,710,1019,0,370,634,1019,76,370,634,1
0,cam1_000.png,3440,710,1887,345,36,72,1887,293,36,72,1
1,cam1_001.png,3440,710,1887,345,36,72,1887,293,36,72,1
2,cam1_002.png,3440,710,1887,345,36,72,1887,293,36,72,1
3,cam1_003.png,3440,710,1887,345,36,72,1887,293,36,72,1
4,cam1_004.png,3440,710,1887,345,36,72,1887,293,36,72,1
5,cam1_005.png,3440,710,1887,345,36,72,1887,293,36,72,1
6,cam1_006.png,3440,710,1887,345,36,72,1887,293,36,72,1
7,cam1_007.png,3440,710,1887,345,36,72,1887,293,36,72,1
8,cam1_008.png,3440,710,1887,345,36,72,1887,293,36,72,1
9,cam1_009.png,3440,710,1887,345,36,72,1887,293,36,72,1
10,cam1_010.png,3440,710,1887,345,36,72,1887,293,36,72,1
11,cam1_011.png,3440,710,1887,345,36,72,1887,293,36,72,1
12,cam1_012.png,3440,710,1887,345,36,72,1887,293,36,72,1
13,cam1_013.png,3440,710,1887,345,36,72,1887,293,36,72,1
14,cam1_014.png,3440,710,1887,345,36,72,1887,293,36,72,1
15,cam1_015.png,3440,710,1887,345,36,72,1887,293,36,72,1
16,cam1_016.png,3440,710,1887,345,36,72,1887,293,36,72,1
17,cam1_017.png,3440,710,1887,345,36,72,1887,293,36,72,1
18,cam1_018.png,3440,710,1887,345,36,72,1887,293,36,72,1
19,cam1_019.png,3440,710,1887,345,36,72,1887,293,36,72,1
0,cam1_000.png,3440,710,1887,345,36,72,1887,293,36,72,1
1,cam1_001.png,3440,710,1887,345,36,72,1887,293,36,72,1
0,cam1_000.png,3440,710,2372,0,1068,710,2372,0,1068,710,1
1,cam1_001.png,3440,710,2298,0,1097,710,2298,0,1097,710,1
