cond,frame,time_s,lap_meanabs,rms_contrast,diff_rms,roi_w,roi_h
C2_gauss_sigma0p6,0,0.0,0.0225372351706028,0.15190795063972473,0.0,321,586
C2_gauss_sigma0p6,1,0.016666666666666666,0.02258484996855259,0.15180398523807526,0.012452966533601284,321,586
C2_gauss_sigma0p6,2,0.03333333333333333,0.02268650196492672,0.15177805721759796,0.012430490925908089,321,586
C2_gauss_sigma0p6,3,0.05,0.022682666778564453,0.1516910344362259,0.012407527305185795,321,586
C2_gauss_sigma0p6,4,0.06666666666666667,0.022733787074685097,0.15162311494350433,0.012384936213493347,321,586
C2_gauss_sigma0p6,5,0.08333333333333333,0.022702597081661224,0.15148022770881653,0.012336056679487228,321,586
C2_gauss_sigma0p6,6,0.1,0.022640887647867203,0.15135709941387177,0.012340291403234005,321,586
C2_gauss_sigma0p6,7,0.11666666666666667,0.02255074307322502,0.15123343467712402,0.012221665121614933,321,586
C2_gauss_sigma0p6,8,0.13333333333333333,0.022527143359184265,0.15118815004825592,0.01214486826211214,321,586
C2_gauss_sigma0p6,9,0.15,0.022411106154322624,0.15104396641254425,0.012076916173100471,321,586
C2_gauss_sigma0p6,10,0.16666666666666666,0.022381585091352463,0.1508464515209198,0.011982067488133907,321,586
C2_gauss_sigma0p6,11,0.18333333333333332,0.022320833057165146,0.15072676539421082,0.011899436824023724,321,586
C2_gauss_sigma0p6,12,0.2,0.022153306752443314,0.15061326324939728,0.011820840649306774,321,586
C2_gauss_sigma0p6,13,0.21666666666666667,0.022260628640651703,0.15029850602149963,0.011737722903490067,321,586
C2_gauss_sigma0p6,14,0.23333333333333334,0.02222251705825329,0.15027131140232086,0.011652549728751183,321,586
C2_gauss_sigma0p6,15,0.25,0.02215113490819931,0.15020567178726196,0.011575515381991863,321,586
C2_gauss_sigma0p6,16,0.26666666666666666,0.022269470617175102,0.15002749860286713,0.01153284590691328,321,586
C2_gauss_sigma0p6,17,0.2833333333333333,0.022252870723605156,0.14993005990982056,0.011474253609776497,321,586
C2_gauss_sigma0p6,18,0.3,0.02220758982002735,0.14988404512405396,0.011424594558775425,321,586
C2_gauss_sigma0p6,19,0.31666666666666665,0.02228739485144615,0.1497417539358139,0.011345287784934044,321,586
C2_gauss_sigma0p6,20,0.3333333333333333,0.02228989638388157,0.14976206421852112,0.011268436908721924,321,586
C2_gauss_sigma0p6,21,0.35,0.0222394447773695,0.1497460901737213,0.011188891716301441,321,586
C2_gauss_sigma0p6,22,0.36666666666666664,0.022257793694734573,0.14967913925647736,0.011110448278486729,321,586
