time_sec,lap_var_s0.3,rms_contrast_s0.3,lap_var_s0.6,rms_contrast_s0.6,lap_var_s0.9,rms_contrast_s0.9
0.0,647.2989,0.69288945,963.8294,0.7017319,1321.6986,0.710469
0.016666668,640.30585,0.69124365,938.8815,0.6995928,1285.3862,0.70800906
0.033333335,594.38556,0.6891206,835.8043,0.6965474,1113.5848,0.70388263
0.05,560.1393,0.687163,753.708,0.69275546,978.10095,0.69866836
0.06666667,528.7298,0.6856587,679.4685,0.69024134,848.91266,0.69482577
0.083333336,477.38577,0.68252826,584.128,0.6853348,699.40955,0.68836117
0.1,441.62885,0.68122727,506.71555,0.6831536,575.0008,0.68518466
0.11666667,411.50952,0.6796179,458.07172,0.6808636,504.74033,0.68212783
0.13333334,388.69528,0.67793614,407.97202,0.67830634,428.79977,0.6788617
0.15,379.6475,0.67640305,391.24606,0.67663103,399.77298,0.6769049
0.16666667,368.1504,0.6738985,370.2018,0.67390734,376.04114,0.67399627
0.18333334,366.8784,0.67236406,368.6813,0.67238015,369.94824,0.6723577
0.2,358.15405,0.67089355,359.65295,0.67094517,361.08563,0.67089236
0.21666667,352.01868,0.6683786,352.76425,0.66838974,353.9498,0.668317
0.23333333,349.67215,0.66773206,349.85492,0.6677456,351.5154,0.66772616
0.25,345.5835,0.6666862,345.93542,0.6666987,346.46075,0.66669786
0.26666668,343.045,0.664935,343.44666,0.6649113,344.13086,0.66492146
0.28333333,342.13382,0.66377294,342.78842,0.6637452,343.4425,0.66376495
0.3,334.88763,0.6631184,336.2993,0.663146,336.06644,0.66312575
0.31666666,332.46487,0.661607,333.8656,0.66168314,333.0729,0.66167295
0.33333334,331.7312,0.66140366,332.63733,0.66142076,332.48422,0.6614379
0.35,326.9037,0.66111916,327.08182,0.66111654,327.01657,0.6611174
0.36666667,323.44818,0.6598935,323.6368,0.6599244,323.6959,0.6599042
0.38333333,323.54092,0.6592005,323.1983,0.65919226,323.76746,0.65921336
0.4,318.22324,0.65853745,318.61343,0.65857625,318.74182,0.65858686
0.41666666,317.2809,0.65775174,317.95218,0.6577691,316.9976,0.65777904
0.43333334,318.14597,0.6572294,318.58896,0.6572401,318.01987,0.65727645
0.45,315.01886,0.65674603,315.526,0.65676,316.4874,0.6567514
0.46666667,309.8866,0.655259,309.68735,0.65525144,310.64056,0.6552657
0.48333332,308.8095,0.6547859,308.8829,0.6547716,309.4724,0.6548025
0.5,304.88693,0.6538019,305.77603,0.6537629,305.32053,0.65377295
0.51666665,303.33307,0.6537627,304.24725,0.65377146,303.6509,0.65375835
0.53333336,305.4506,0.6536497,306.5867,0.65361637,305.4864,0.6536081
0.55,304.1844,0.65283364,304.936,0.652816,304.50095,0.6528152
0.56666666,302.4789,0.65209067,303.40863,0.6520826,302.54013,0.6521376
0.5833333,303.6427,0.6516764,303.5811,0.65167975,303.4772,0.65170294
0.6,299.04254,0.65025705,299.69348,0.65030086,299.68088,0.65033835
