time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.016666668,0.98333335,0.016666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.033333335,0.96666664,0.033333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.06666667,0.93333334,0.06666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.083333336,0.9166667,0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.11666667,0.8833333,0.11666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.13333334,0.8666667,0.13333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.15,0.85,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.16666667,0.8333333,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.18333334,0.81666666,0.18333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.21666667,0.7833333,0.21666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.23333333,0.76666665,0.23333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.26666668,0.73333335,0.26666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.28333333,0.7166667,0.28333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.31666666,0.68333334,0.31666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.33333334,0.6666666,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.35,0.65,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.36666667,0.6333333,0.36666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.38333333,0.6166667,0.38333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.41666666,0.5833334,0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.43333334,0.56666666,0.43333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.45,0.55,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.46666667,0.5333333,0.46666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
