time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
0.0,0.7979433,0.19896893,0.0030847858,2.9736577e-06,1.7823128e-10,6.642062e-16,1.539033e-22,2.2172895e-30,1.986184e-39,0.0,1.0
0.016666668,0.7902559,0.20638932,0.0033514553,3.3838123e-06,2.1242443e-10,8.291519e-16,2.0122638e-22,3.036408e-30,2.848851e-39,0.0,1.0
0.033333335,0.78235,0.21400641,0.0036398116,3.849088e-06,2.530835e-10,1.03465e-15,2.629995e-22,4.1566093e-30,4.084585e-39,0.0,1.0000001
0.05,0.774225,0.22181922,0.0039514583,4.376659e-06,3.014075e-10,1.2906082e-15,3.436041e-22,5.6878527e-30,5.854223e-39,0.0,1.0
0.06666667,0.7658808,0.22982612,0.0042880913,4.974565e-06,3.5881664e-10,1.6092197e-15,4.4873326e-22,7.7801085e-30,8.387112e-39,0.0,1.0
0.083333336,0.75731784,0.238025,0.0046515074,5.6518484e-06,4.2698692e-10,2.0057016e-15,5.857919e-22,1.0637751e-29,1.2010994e-38,0.0,1.0
0.1,0.7485369,0.2464131,0.0050436044,6.4186534e-06,5.0789517e-10,2.4988054e-15,7.643904e-22,1.4538595e-29,1.7193356e-38,0.0,1.0
0.11666667,0.7395393,0.25498703,0.0054664,7.2863713e-06,6.038741e-10,3.1118036e-15,9.970088e-22,1.9861797e-29,2.4601364e-38,0.0,1.0000001
0.13333334,0.730327,0.26374266,0.0059220223,8.267746e-06,7.176766e-10,3.873456e-15,1.299849e-21,2.7121466e-29,3.5185433e-38,0.0,1.0
0.15,0.72090256,0.27267534,0.006412712,9.377012e-06,8.5253854e-10,4.819353e-15,1.6939166e-21,3.7018718e-29,5.030064e-38,0.0,1.0
0.16666667,0.7112691,0.2817795,0.0069408272,1.0630174e-05,1.0122692e-09,5.993433e-15,2.2063938e-21,5.05035e-29,7.187523e-38,0.0,1.0
0.18333334,0.7014301,0.291049,0.0075088697,1.2045073e-05,1.2013537e-09,7.4500275e-15,2.8725945e-21,6.886763e-29,1.0265624e-37,0.0,1.0
