file,subject,condition,V0,A1,A2,φ1,φ2,R,MSE
D:\vectionProject\public\ExperimentData55\20251125_163945_ExperimentPattern_CameraJumpMovePlusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_3.csv,HOU_D,CameraJumpMovePlusCompensate,1.056,0.9349999,0.287,4.077787,3.191858,0.9261895265191746,0.48192422201905005
D:\vectionProject\public\ExperimentData55\20251125_164636_ExperimentPattern_LuminanceMinusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_2.csv,HOU_D,LuminanceMinusCompensate,0.992,0.8119999,1.355,5.309292,4.090354,1.5924129527023427,1.252415257422144
D:\vectionProject\public\ExperimentData55\20251125_171437_ExperimentPattern_LuminanceLinearMix_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_3.csv,HOU_D,LuminanceLinearMix_New,1.046,0.8420001,0.719,3.468318,2.752035,1.0585229929793307,0.6135455475182888
D:\vectionProject\public\ExperimentData55\20251125_172606_ExperimentPattern_CameraJumpMovePlusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_2.csv,HOU_D,CameraJumpMovePlusCompensate,1.008,1.565,0.5329999,2.846283,1.162389,1.640152470044214,1.3654973551815255
D:\vectionProject\public\ExperimentData55\20251125_173359_ExperimentPattern_LuminanceMinusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_3.csv,HOU_D,LuminanceMinusCompensate,1.02,1.22,1.097,4.002389,3.003363,1.6085032719442758,1.344515011435692
D:\vectionProject\public\ExperimentData55\20251125_173736_ExperimentPattern_CameraJumpMoveMinusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_2.csv,HOU_D,CameraJumpMoveMinusCompensate,0.958,1.487,1.712,4.461061,2.97823,2.367038375826382,2.569523599855302
D:\vectionProject\public\ExperimentData55\20251125_174153_ExperimentPattern_LuminanceLinearMix_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_2.csv,HOU_D,LuminanceLinearMix_New,0.998,1.589,0.761,2.550973,6.283185,1.7653598828800503,1.550111307573579
D:\vectionProject\public\ExperimentData55\20251126_151454_ExperimentPattern_LuminanceLinearMix_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_1.csv,HOU_D,LuminanceLinearMix_New,1.012,0.9349999,0.584,2.97823,3.216991,1.0893258461035495,0.6062880213323927
D:\vectionProject\public\ExperimentData55\20251126_151910_ExperimentPattern_LuminancePlusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_1.csv,HOU_D,LuminancePlusCompensate,0.954,1.004,0.005000025,3.210708,2.104867,1.0524239520403669,0.5048720644974211
D:\vectionProject\public\ExperimentData55\20251126_152344_ExperimentPattern_LuminancePlusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_2.csv,HOU_D,LuminancePlusCompensate,1.038,1.361,0.845,4.033805,3.56885,1.5433351613927617,1.2866445763891476
D:\vectionProject\public\ExperimentData55\20251126_152651_ExperimentPattern_CameraJumpMoveMinusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_1.csv,HOU_D,CameraJumpMoveMinusCompensate,1.002,1.643,0.9649999,2.167699,6.283185,1.901629449699886,1.815405447933375
D:\vectionProject\public\ExperimentData55\20251126_152930_ExperimentPattern_CameraJumpMoveMinusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_3.csv,HOU_D,CameraJumpMoveMinusCompensate,0.978,1.634,0.8420001,3.311239,2.632655,1.879533672950998,1.6857803685629866
D:\vectionProject\public\ExperimentData55\20251126_153438_ExperimentPattern_LuminanceMinusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_1.csv,HOU_D,LuminanceMinusCompensate,0.984,1.382,0.5749999,2.24938,2.42531,1.521185277526714,1.1231267496336987
D:\vectionProject\public\ExperimentData55\20251126_153645_ExperimentPattern_LuminancePlusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_3.csv,HOU_D,LuminancePlusCompensate,1.074,2.0,0.5329999,2.865133,1.803274,1.9271918726805606,2.1446046898658437
D:\vectionProject\public\ExperimentData55\20251126_153931_ExperimentPattern_CameraJumpMovePlusCompensate_ParticipantName_HOU_Subject_Name_HOU_D_A1A2_TrialNumber_1.csv,HOU_D,CameraJumpMovePlusCompensate,0.918,2.0,0.7279999,3.27354,3.612832,2.3184922357773305,2.2666910631857338
D:\vectionProject\public\ExperimentData55\20251126_162841_ExperimentPattern_LuminancePlusCompensate_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_1.csv,LL_E,LuminancePlusCompensate,1.064,0.359,0.956,0.3330088,2.173982,0.959759508084491,0.5259574698979683
